"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/22/2016 00:17:13:106 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"4","""sparse""","1","1","1","false","1","44.532888","42"
"3","""sparse""","1","1","1","false","1","44.532888","37"
"2","""sparse""","1","1","1","false","1","44.532888","37"
"5","""sparse""","1","1","1","false","1","44.532888","40"
"7","""sparse""","1","1","1","false","1","44.532888","46"
"8","""sparse""","1","1","1","false","1","44.532888","39"
"6","""sparse""","1","1","1","false","1","44.532888","46"
"1","""sparse""","1","1","1","false","1","44.532888","51"
"10","""sparse""","1","1","1","false","1","44.532888","40"
"11","""sparse""","1","1","1","false","1","44.532888","41"
"9","""sparse""","1","1","1","false","1","44.532888","50"
"12","""sparse""","1","1","1","false","1","44.532888","47"
"13","""sparse""","1","1","1","false","1","44.532888","31"
"14","""sparse""","1","1","1","false","1","44.532888","52"
"15","""sparse""","1","1","1","false","1","44.532888","50"
"16","""sparse""","1","1","1","false","1","44.532888","46"
"17","""sparse""","1","1","1","false","1","44.532888","54"
"18","""sparse""","1","1","1","false","1","44.532888","58"
"19","""sparse""","1","1","1","false","1","44.532888","46"
"20","""sparse""","1","1","1","false","1","44.532888","37"
"21","""sparse""","1","1","41","false","1","44.532888","49"
"22","""sparse""","1","1","41","false","1","44.532888","46"
"23","""sparse""","1","1","41","false","1","44.532888","44"
"24","""sparse""","1","1","41","false","1","44.532888","52"
"25","""sparse""","1","1","41","false","1","44.532888","36"
"26","""sparse""","1","1","41","false","1","44.532888","34"
"27","""sparse""","1","1","41","false","1","44.532888","61"
