"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"Practice Run"
"03/17/2016 03:03:06:349 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","R_value","resource_density","population","communication?","repetitions","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","R","loop-num","J-per-microL","nectar-influx","hive-collected","imported","exported","timer-post-setup","timer","count patches with [resource?]","count patches with [resource? and quantity = 100]","count patches with [resource? and quantity = 0]"
"1","""1.0""","""dense""","500","true","1","-1500","1500","-1500","1500","1000","1.009934981256776","1","5.819","0.17667935935935966","88251.34000000016","false","true","112.555","2294.008","12749","12722","1"
"2","""1.0""","""dense""","500","true","2","-1500","1500","-1500","1500","1000","0.994250113528006","1","5.819","0.1589122522522517","79376.66999999972","false","true","105.373","2289.812","12785","12763","2"
"3","""1.0""","""dense""","500","false","1","-1500","1500","-1500","1500","1000","1.009934981256776","1","5.819","0.17667935935935966","88251.34000000016","true","false","682.341","3335.217","12749","12722","1"
"4","""1.0""","""dense""","500","false","2","-1500","1500","-1500","1500","1000","0.994250113528006","1","5.819","0.1589122522522517","79376.66999999972","true","false","665.219","3358.531","12785","12763","2"
"5","""1.0""","""dense""","3000","true","1","-1500","1500","-1500","1500","1000","1.0067503345719144","1","5.819","0.13588166833500104","407237.3599999981","false","true","104.493","2329.8","12659","12580","18"
"6","""1.0""","""dense""","3000","true","2","-1500","1500","-1500","1500","1000","1.0022437848059906","1","5.819","0.12488078078078135","374267.70000000176","false","true","106.144","2330.86","12826","12761","16"
"7","""1.0""","""dense""","3000","false","1","-1500","1500","-1500","1500","1000","1.0067503345719144","1","5.819","0.13588166833500104","407237.3599999981","true","false","683.667","3392.508","12659","12580","18"
"8","""1.0""","""dense""","3000","false","2","-1500","1500","-1500","1500","1000","1.0022437848059906","1","5.819","0.12488078078078135","374267.70000000176","true","false","670.714","3388.212","12826","12761","16"
"9","""1.0""","""sparse""","500","true","1","-1500","1500","-1500","1500","1000","0.9817935649236329","2","5.819","0.017614174174174168","8798.279999999997","false","true","96.304","2273.838","420","417","0"
"10","""1.0""","""sparse""","500","true","2","-1500","1500","-1500","1500","1000","1.0123546541066484","2","5.819","0.038442942942943044","19202.25000000005","false","true","96.578","2298.014","400","396","1"
"11","""1.0""","""sparse""","500","false","1","-1500","1500","-1500","1500","1000","0.9817935649236329","2","5.819","0.017614174174174168","8798.279999999997","true","false","620.621","3295.292","420","417","0"
"12","""1.0""","""sparse""","500","false","2","-1500","1500","-1500","1500","1000","1.0123546541066484","2","5.819","0.038442942942943044","19202.25000000005","true","false","652.817","3298.792","400","396","1"
"13","""1.0""","""sparse""","3000","true","1","-1500","1500","-1500","1500","1000","1.0097687692952353","1","5.819","0.015230293626960354","45645.19000000018","false","true","81.823","2260.172","407","398","2"
"14","""1.0""","""sparse""","3000","true","2","-1500","1500","-1500","1500","1000","1.0066445135216384","1","5.819","0.01782010343677014","53406.85000000011","false","true","83.619","2260.927","411","402","2"
