BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Practice Run,,,,,,,,,,,,,,,,,,,,,,,
03/17/2016 14:31:29:961 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],R_value,communication?,resource_density,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,J-per-microL,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 100],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles
2,"""1.0""",TRUE,"""dense""",500,2,-750,750,-750,750,1000,1.012108576,1,5.819,0.16368955,81762.93,FALSE,TRUE,25.063,501.893,3157,0,4,190.3943276
1,"""1.0""",TRUE,"""dense""",500,1,-750,750,-750,750,1000,0.98247212,1,5.819,0.143652653,71754.5,FALSE,TRUE,25.221,502.593,3258,0,2,171.1052308
4,"""1.0""",TRUE,"""dense""",3000,2,-750,750,-750,750,1000,1.012108576,1,5.819,0.16368955,81762.93,TRUE,FALSE,164.85,725.912,3157,0,4,190.3943276
3,"""1.0""",TRUE,"""dense""",3000,1,-750,750,-750,750,1000,0.98247212,1,5.819,0.143652653,71754.5,TRUE,FALSE,166.813,735.222,3258,0,2,171.1052308
5,"""1.0""",TRUE,"""sparse""",500,1,-750,750,-750,750,1000,1.01971675,3,5.819,0.028728448,14349.86,FALSE,TRUE,27.273,490.937,86,0,2,694.7736134
6,"""1.0""",TRUE,"""sparse""",500,2,-750,750,-750,750,1000,1.020525639,2,5.819,0.031104665,15536.78,FALSE,TRUE,23.576,487.427,93,0,1,617.0809725
7,"""1.0""",TRUE,"""sparse""",3000,1,-750,750,-750,750,1000,1.01971675,3,5.819,0.028728448,14349.86,TRUE,FALSE,166.227,733.915,86,0,2,694.7736134
8,"""1.0""",TRUE,"""sparse""",3000,2,-750,750,-750,750,1000,1.020525639,2,5.819,0.031104665,15536.78,TRUE,FALSE,168.225,745.673,93,0,1,617.0809725
9,"""1.0""",FALSE,"""dense""",500,1,-750,750,-750,750,1000,0.98247212,1,5.819,0.143652653,71754.5,TRUE,FALSE,203.588,777.225,3258,0,2,171.1052308
10,"""1.0""",FALSE,"""dense""",500,2,-750,750,-750,750,1000,1.012108576,1,5.819,0.16368955,81762.93,TRUE,FALSE,205.096,788.525,3157,0,4,190.3943276
11,"""1.0""",FALSE,"""dense""",3000,1,-750,750,-750,750,1000,0.98247212,1,5.819,0.143652653,71754.5,TRUE,FALSE,178.187,797.411,3258,0,2,171.1052308
12,"""1.0""",FALSE,"""dense""",3000,2,-750,750,-750,750,1000,1.012108576,1,5.819,0.16368955,81762.93,TRUE,FALSE,224.015,808.256,3157,0,4,190.3943276
13,"""1.0""",FALSE,"""sparse""",500,1,-750,750,-750,750,1000,1.01971675,3,5.819,0.028728448,14349.86,TRUE,FALSE,169.233,751.194,86,0,2,694.7736134
14,"""1.0""",FALSE,"""sparse""",500,2,-750,750,-750,750,1000,1.020525639,2,5.819,0.031104665,15536.78,TRUE,FALSE,172.849,807.029,93,0,1,617.0809725
15,"""1.0""",FALSE,"""sparse""",3000,1,-750,750,-750,750,1000,1.01971675,3,5.819,0.028728448,14349.86,TRUE,FALSE,210.5,790.095,86,0,2,694.7736134
16,"""1.0""",FALSE,"""sparse""",3000,2,-750,750,-750,750,1000,1.020525639,2,5.819,0.031104665,15536.78,TRUE,FALSE,170.275,737.446,93,81,1,617.0809725
