BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2016 16:41:18:117 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,J-per-microL,nectar-influx,hive-collected,collected nectar (mL),,imported,exported,timer-post-setup,timer,resources,untouched resources,depleted resources,max [dist-hive-max] of turtles
1,"""dense""","""0.4""",TRUE,500,1,-750,750,-750,750,2400,0.375692925,1,5.819,15.63852907,1.88E+07,3223649.36,644.73,FALSE,TRUE,81.817,1297.736,3273,3086,72,383.6000521
2,"""dense""","""0.4""",TRUE,500,2,-750,750,-750,750,2400,0.397899626,1,5.819,8.921425302,1.07E+07,1839018.67,367.80,FALSE,TRUE,81.737,1386.877,3179,2993,83,416.1685373
3,"""dense""","""0.4""",TRUE,500,3,-750,750,-750,750,2400,0.405139389,1,5.819,7.920934489,9501160.92,1632782.42,326.56,FALSE,TRUE,83.126,1355.564,3238,3052,63,386.5666896
4,"""dense""","""0.4""",TRUE,500,4,-750,750,-750,750,2400,0.396192676,1,5.819,30.01809674,3.60E+07,6187782.62,1237.56,FALSE,TRUE,57.136,1286.119,3202,3013,73,406.472951
5,"""dense""","""0.4""",TRUE,500,5,-750,750,-750,750,2400,0.40136583,1,5.819,12.53490818,1.50E+07,2583884.23,516.78,FALSE,TRUE,60.302,1341.909,3240,3064,65,481.5974014
6,"""dense""","""0.4""",TRUE,500,6,-750,750,-750,750,2400,0.381806428,1,5.819,16.57934133,1.99E+07,3417583.76,683.52,FALSE,TRUE,59.972,1371.068,3177,2981,78,446.2050732
7,"""dense""","""0.4""",TRUE,500,7,-750,750,-750,750,2400,0.423673002,1,5.819,8.433140308,1.01E+07,1738366.01,347.67,FALSE,TRUE,56.551,1286.949,3192,3015,63,433.0941376
8,"""dense""","""0.4""",TRUE,500,8,-750,750,-750,750,2400,0.399167112,1,5.819,45.59790447,5.47E+07,9399327.45,1879.87,FALSE,TRUE,57.875,1345.573,3196,3030,63,469.4339621
9,"""dense""","""0.4""",TRUE,500,9,-750,750,-750,750,2400,0.410018711,1,5.819,4.593487737,5509888.54,946878.94,189.38,FALSE,TRUE,58.93,1399.644,3177,2994,65,660.4391103
10,"""dense""","""0.4""",TRUE,500,10,-750,750,-750,750,2400,0.407669637,1,5.819,15.05449357,1.81E+07,3103259.16,620.65,FALSE,TRUE,57.605,1387.48,3193,3057,53,315.2904006
11,"""dense""","""0.4""",TRUE,3000,1,-750,750,-750,750,2400,0.375692925,1,5.819,15.63852907,1.88E+07,3223649.36,107.45,TRUE,FALSE,230.362,1826.108,3273,3086,72,383.6000521
12,"""dense""","""0.4""",TRUE,3000,2,-750,750,-750,750,2400,0.397899626,1,5.819,8.921425302,1.07E+07,1839018.67,61.30,TRUE,FALSE,223.847,1895.868,3179,2993,83,416.1685373
