"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"Fix things Run"
"04/10/2016 19:31:36:165 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-750","750","-750","750"
"[run number]","resource_density","R_value","communication?","population","repetitions","save_map","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","communication?","population","R","loop-num","J-per-microL","nectar-influx","hive-collected","imported","exported","timer-post-setup","timer","count patches with [resource?]","count patches with [resource? and quantity = 50]","count patches with [resource? and quantity = 0]","max [dist-hive-max] of turtles"
"2","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","1.0243192048235907","5","5.819","0.03134358204807566","225579.76000000056","false","false","19.038","4462.506","116","74","25","808.8347009401432"
"1","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","0.9893274256200647","2","5.819","0.02082149367792114","149852.28999999844","false","false","10.226","4467.628","106","61","23","873.8583897380988"
"3","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","0.9993379937789617","4","5.819","0.02458019452549674","176903.66000000003","false","false","16.028","2389.163","112","65","20","821.3968789423675"
"4","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","0.9824848503899559","7","5.819","0.03510508406280404","252651.2900000007","false","false","32.297","2392.013","120","61","22","926.9827946966111"
"5","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","1.0254997397800671","5","5.819","0.021519799916632082","154878.00000000108","false","false","20.231","1614.629","94","52","14","930.1361399106579"
"6","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","0.9935152937147742","3","5.819","0.02256533416701394","162402.70999999932","false","false","14.491","1606.316","107","64","19","953.5598949038481"
"8","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","0.989657940549248","7","5.819","0.025738707794914585","185241.48000000027","false","false","35.811","1650.129","111","65","18","996.6796791270268"
"7","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","1.0180903793399907","3","5.819","0.02306647214117004","166009.40000000075","false","false","14.09","1679.398","110","67","21","941.5985544775707"
"9","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","1.0229414607121292","7","5.819","0.020077422537168245","144497.20999999988","false","false","32.935","1608.528","103","68","14","898.3192779332367"
"10","""sparse""","""1.0""","true","3000","1","false","-750","750","-750","750","2400","true","3000","0.9837762010883588","2","5.819","0.03607278449353889","259615.8299999994","false","false","8.549","1608.884","100","57","26","940.0783915865105"
