BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2016 14:36:41:335 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-100,100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,nectar.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
1,"""dense""","""0.4""",,TRUE,500,1,0.414676566,1,0.070621926,84711,169.42,FALSE,TRUE,80.399,1437.99,3146,3004,142,37,468.1172449,3068,76132,2721,27.98,11167,420,26.59
2,"""dense""","""0.4""",,TRUE,500,2,0.396498845,1,0.061165486,73368,146.74,FALSE,TRUE,74.706,1427.875,3214,3083,131,39,405.7831933,3100,65153,2705,24.09,9729,463,21.01
3,"""dense""","""0.4""",,TRUE,500,3,0.417463805,1,0.088289287,105903,211.81,FALSE,TRUE,71.573,1423.442,3206,3062,144,55,413.6448686,3765,96128,3378,28.46,18807,626,30.04
4,"""dense""","""0.4""",,TRUE,500,4,0.416651927,1,0.080446853,96496,192.99,FALSE,TRUE,72.506,1432,3155,3015,140,44,693.6099691,3650,86921,3258,26.68,11813,458,25.79
5,"""dense""","""0.4""",,TRUE,500,5,0.413972109,1,0.090360984,108388,216.78,FALSE,TRUE,66.412,1407.08,3156,3008,148,50,382.8084535,3748,98737,3363,29.36,14334,498,28.78
6,"""dense""","""0.4""",,TRUE,500,6,0.403258623,2,0.071723218,86032,172.06,FALSE,TRUE,111.928,1456.415,3186,3049,137,46,385.8108345,3180,77030,2809,27.42,15142,538,28.14
7,"""dense""","""0.4""",,TRUE,500,7,0.388100272,1,0.065021259,77993,155.99,FALSE,TRUE,64.894,1412.974,3184,3041,143,47,436.0367791,3676,70236,3240,21.68,12456,591,21.08
8,"""dense""","""0.4""",,TRUE,500,8,0.408004164,1,0.101005419,121156,242.31,FALSE,TRUE,72.326,1418.709,3187,3048,139,54,429.7924453,3952,110179,3562,30.93,18840,582,32.37
9,"""dense""","""0.4""",,TRUE,500,9,0.39270917,1,0.08653689,103801,207.60,FALSE,TRUE,69.937,1468.803,3217,3068,149,54,366.1705326,3767,93235,3342,27.9,16595,586,28.32
10,"""dense""","""0.4""",,TRUE,500,10,0.412506387,1,0.060952897,73113,146.23,FALSE,TRUE,76.539,1481.433,3241,3095,146,39,362.7155458,3263,64269,2826,22.74,10688,441,24.24
11,"""dense""","""0.4""",,TRUE,3000,1,0.414676566,1,0.047925525,344920,114.97,TRUE,FALSE,201.423,2060.692,3146,2673,473,211,685.343751,13193,302163,11340,26.65,85480,3337,25.62
