BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,,dance-quality,dance-quantity,,random-quality,random-quantity,
1,"""dense""","""0.4""",TRUE,500,1,TRUE,-750,750,-750,750,2400,0.390051339,1,0.487953897,585300.7,FALSE,TRUE,82.072,1484.543,3323,3172,151,53,543.4353687,3750,156.0801867,512464.01,3259,157.245784,111649.77,660,169.1663182
2,"""dense""","""0.4""",TRUE,500,2,TRUE,-750,750,-750,750,2400,0.404141609,1,0.540237699,648015.12,FALSE,TRUE,72.151,1482.424,3180,3048,132,48,390.2986954,3619,179.0591655,575661.79,3198,180.0068136,112841.94,599,188.3838731
3,"""dense""","""0.4""",TRUE,500,3,TRUE,-750,750,-750,750,2400,0.3976774,1,0.384836832,461611.78,FALSE,TRUE,70.924,1485.289,3139,3000,139,45,426.3888878,3236,142.6488813,405632.62,2797,145.0241759,65749.42,501,131.2363673
4,"""dense""","""0.4""",TRUE,500,4,TRUE,-750,750,-750,750,2400,0.408533056,1,0.490576857,588446.94,FALSE,TRUE,72.196,1492.756,3173,3012,161,51,486.5973695,3750,156.919184,517472.6,3279,157.8141507,102379.6,645,158.728062
5,"""dense""","""0.4""",TRUE,500,5,TRUE,-750,750,-750,750,2400,0.416171535,1,0.517318941,620524.07,FALSE,TRUE,67.578,1467.842,3190,3035,155,47,421.6003499,3757,165.1647777,554396.6,3344,165.7884569,85691.11,523,163.8453346
6,"""dense""","""0.4""",TRUE,500,6,TRUE,-750,750,-750,750,2400,0.421280332,1,0.482896765,579234.67,FALSE,TRUE,76.444,1477.805,3226,3072,154,55,518.7696653,3732,155.207575,510442.49,3260,156.5774509,92283.29,586,157.4800171
7,"""dense""","""0.4""",TRUE,500,7,TRUE,-750,750,-750,750,2400,0.394800892,1,0.483657891,580147.64,FALSE,TRUE,65.249,1474.184,3140,2991,149,49,504.4293806,3723,155.8279989,512478.68,3260,157.2020491,87558.37,532,164.5834023
8,"""dense""","""0.4""",TRUE,500,8,TRUE,-750,750,-750,750,2400,0.422445432,1,0.470725135,564634.8,FALSE,TRUE,67.435,1483.509,3166,3016,150,52,401.2244733,3875,145.7122065,496308.14,3395,146.1879647,111439.59,699,159.4271674
9,"""dense""","""0.4""",TRUE,500,9,TRUE,-750,750,-750,750,2400,0.414376727,1,0.566074331,679006.16,FALSE,TRUE,78.122,1524.409,3168,3019,149,56,376.0757902,3883,174.8663817,608858.31,3474,175.2614594,105073.52,614,171.1295114
10,"""dense""","""0.4""",TRUE,500,10,TRUE,-750,750,-750,750,2400,0.394259285,1,0.45819118,549600.32,FALSE,TRUE,78.339,1530.461,3188,3038,150,47,343.9205242,3495,157.2533104,489745.86,3093,158.3400776,88984.61,601,148.0609151
11,"""dense""","""0.4""",TRUE,3000,1,TRUE,-750,750,-750,750,2400,0.390051339,1,0.307411937,2212443.71,TRUE,FALSE,225.337,2155.885,3323,2836,487,243,558.3722832,14793,149.5601778,1868638.51,12367,151.0987717,678328.91,4513,150.3055418
12,"""dense""","""0.4""",TRUE,3000,2,TRUE,-750,750,-750,750,2400,0.404141609,1,0.332406978,2392333.02,TRUE,FALSE,224.067,2177.74,3180,2678,502,240,554.8508035,14605,163.8023293,2031223.06,12359,164.3517323,674259.92,4164,161.9260134
13,"""dense""","""0.4""",TRUE,3000,3,TRUE,-750,750,-750,750,2400,0.3976774,1,0.280259832,2017030.01,TRUE,FALSE,217.734,2173.671,3139,2683,456,230,789.3877374,13557,148.7814421,1697432.08,11303,150.1753588,590408.88,4129,142.9907677
14,"""dense""","""0.4""",TRUE,3000,4,TRUE,-750,750,-750,750,2400,0.408533056,1,0.277706266,1998652,TRUE,FALSE,218.712,2177.085,3173,2700,473,205,534.2180348,13189,151.5393131,1676458.87,10899,153.8176778,512457.56,3499,146.4582909
