"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"Fix things Run"
"04/10/2016 23:13:07:533 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-750","750","-750","750"
"[run number]","resource_density","R_value","communication?","population","repetitions","save_map","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","R","loop-num","nectar-influx","hive-collected","imported","exported","timer-post-setup","timer","count patches with [resource?]","count patches with [resource? and quantity = 50]","count patches with [resource? and quantity != 50]","count patches with [resource? and quantity = 0]","max [dist-hive-max] of turtles","foraged-count","dance-quality","dance-quantity","random-quality","random-quantity"
"2","""sparse""","""1.0""","true","500","2","true","-750","750","-750","750","2400","0.9856506114505963","3","0.06309439766569402","75681.72999999998","false","true","38.359","1601.385","107","86","21","6","752.3445592523722","476","60243.91000000002","372","6447.430000000001","45"
"1","""sparse""","""1.0""","true","500","1","true","-750","750","-750","750","2400","1.0083702406449557","1","0.0706677949145479","84766.02000000021","false","true","29.679","1609.745","98","81","17","7","703.6874595226226","509","67256.55000000016","403","7489.119999999999","47"
"3","""sparse""","""1.0""","true","500","3","true","-750","750","-750","750","2400","0.9945054990467642","6","0.08279107961650699","99307.90000000014","false","true","55.556","1660.826","95","65","30","8","749.2280358599756","664","82572.30000000013","546","12062.899999999996","89"
"4","""sparse""","""1.0""","true","500","4","true","-750","750","-750","750","2400","1.0019100504508174","3","0.07719694872863685","92597.73999999989","false","true","39.452","1627.303","110","82","28","10","975.2478127276601","665","74890.53000000007","533","8990.35","65"
"5","""sparse""","""1.0""","true","500","5","true","-750","750","-750","750","2400","0.9917135900430509","1","0.06415760733639035","76957.05000000024","false","true","31.006","1632.643","109","87","22","7","756.0995803783768","468","63456.82000000022","380","7576.42","53"
"6","""sparse""","""1.0""","true","500","6","true","-750","750","-750","750","2400","1.0074477895597282","3","0.043733830762818","52458.730000000185","false","true","44.251","1699.006","105","85","20","4","739.3307379901677","362","43573.09000000009","289","5353.499999999999","36"
"7","""sparse""","""1.0""","true","500","7","true","-750","750","-750","750","2400","1.0220305066848492","8","0.04034771988328471","48397.09000000001","false","true","63.932","1851.337","104","92","12","5","724.5530546451253","319","39069.13999999997","257","2205.4100000000008","19"
"8","""sparse""","""1.0""","true","500","8","true","-750","750","-750","750","2400","1.0288597421072143","1","0.08186807002917895","98200.75000000016","false","true","36.765","1861.159","102","78","24","5","788.8056058868785","554","81319.99000000024","443","7995.29","50"
"9","""sparse""","""1.0""","true","500","9","true","-750","750","-750","750","2400","0.9984259096976076","2","0.10937076281784094","131190.2300000002","false","true","40.272","1897.708","98","71","27","6","792.5938727089183","596","107314.70000000017","487","12522.549999999996","62"
"10","""sparse""","""1.0""","true","500","10","true","-750","750","-750","750","2400","1.0076832160481004","2","0.02655550646102545","31853.330000000024","false","true","46.081","29176.319","91","77","14","2","794.6381651911004","254","28780.900000000023","218","3828.9000000000005","27"
"11","""sparse""","""1.0""","true","3000","1","true","-750","750","-750","750","2400","1.0083702406449557","1","0.01814601500625262","130596.87000000013","true","false","280.762","30520.56","98","60","38","16","927.4144512186813","1065","113925.25000000009","872","20733.219999999994","161"
"12","""sparse""","""1.0""","true","3000","2","true","-750","750","-750","750","2400","0.9856506114505963","3","0.0329250201472838","236961.37000000154","true","false","19205.397","30589.876","107","60","47","20","1046.9809559354958","1442","204212.04000000076","1204","24841.269999999997","169"
"13","""sparse""","""1.0""","true","3000","3","true","-750","750","-750","750","2400","0.9945054990467642","6","0.028588231207447624","205749.50000000055","true","false","392.062","6018.557","95","50","45","21","1041.5520116535056","1277","178079.96000000063","1087","30311.38999999994","191"
