BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/10/2016 16:26:46:161 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
1,"""dense""","""0.4""",TRUE,500,1,TRUE,-750,750,-750,750,2400,0.423857529,1,0.444590946,533286.84,FALSE,TRUE,76.049,1503.61,3136,2993,143,50,495.2918332,3561,466426.8,3086,93138.58,587
2,"""dense""","""0.4""",TRUE,500,2,TRUE,-750,750,-750,750,2400,0.401210063,1,0.490782093,588693.12,FALSE,TRUE,73.486,1467.692,3205,3056,149,49,432.7237803,3691,519900.55,3231,94873.36,597
3,"""dense""","""0.4""",TRUE,500,3,TRUE,-750,750,-750,750,2400,0.407741475,1,0.54171303,649784.78,FALSE,TRUE,71.949,1471.049,3242,3083,159,49,469.5913117,3576,570076.09,3140,102559.92,567
4,"""dense""","""0.4""",TRUE,500,4,TRUE,-750,750,-750,750,2400,0.391655871,1,0.520211163,623993.29,FALSE,TRUE,78.357,1494.567,3103,2967,136,56,469.6860037,3901,560641.38,3467,104271.34,698
5,"""dense""","""0.4""",TRUE,500,5,TRUE,-750,750,-750,750,2400,0.411816556,1,0.530411813,636228.97,FALSE,TRUE,67.471,1461.791,3216,3062,154,53,445.1144335,3637,561058.8,3204,120942.9,661
6,"""dense""","""0.4""",TRUE,500,6,TRUE,-750,750,-750,750,2400,0.405310694,1,0.614735632,737375.39,FALSE,TRUE,65.068,1459.353,3234,3068,166,61,372.6075979,4161,664533.38,3723,144327.99,787
7,"""dense""","""0.4""",TRUE,500,7,TRUE,-750,750,-750,750,2400,0.413780185,1,0.478425027,573870.82,FALSE,TRUE,72.08,1489.986,3221,3058,163,48,399.011278,3696,505800.08,3227,102554.26,589
8,"""dense""","""0.4""",TRUE,500,8,TRUE,-750,750,-750,750,2400,0.410875123,1,0.527399642,632615.87,FALSE,TRUE,70.199,1503.261,3251,3085,166,57,427.5741947,4018,563666.12,3575,119854.57,755
9,"""dense""","""0.4""",TRUE,500,9,TRUE,-750,750,-750,750,2400,0.396715227,1,0.573387178,687777.92,FALSE,TRUE,68.077,1516.255,3264,3109,155,52,405.596649,3967,615552.32,3540,102827.81,585
10,"""dense""","""0.4""",TRUE,500,10,TRUE,-750,750,-750,750,2400,0.405741352,1,0.463459817,555920.05,FALSE,TRUE,66.339,1520.681,3336,3199,137,47,417.0491578,3500,489187.57,3070,103892.84,609
11,"""dense""","""0.4""",TRUE,3000,1,TRUE,-750,750,-750,750,2400,0.423857529,1,0.282600417,2033875.2,TRUE,FALSE,222.588,2188.143,3136,2663,473,218,490.2073542,13674,1698740.12,11341,558549.94,3913
12,"""dense""","""0.4""",TRUE,3000,2,TRUE,-750,750,-750,750,2400,0.401210063,1,0.26927741,1937989.52,TRUE,FALSE,223.25,2221.549,3205,2759,446,201,633.3789315,12769,1628592.23,10597,518096.57,3573
13,"""dense""","""0.4""",TRUE,3000,3,TRUE,-750,750,-750,750,2400,0.407741475,1,0.289635884,2084509.46,TRUE,FALSE,219.585,2179.473,3242,2778,464,198,580.2194226,12973,1739471.27,10699,538200.55,3433
14,"""dense""","""0.4""",TRUE,3000,4,TRUE,-750,750,-750,750,2400,0.391655871,1,0.302873128,2179777.9,TRUE,FALSE,218.358,2174.561,3103,2605,498,222,578.5238086,13981,1839982.64,11777,632788.85,4118
15,"""dense""","""0.4""",TRUE,3000,5,TRUE,-750,750,-750,750,2400,0.411816556,1,0.310130791,2232011.3,TRUE,FALSE,222.854,2187.422,3216,2743,473,211,579.7163213,13311,1876248.24,11044,674895.79,3907
16,"""dense""","""0.4""",TRUE,3000,6,TRUE,-750,750,-750,750,2400,0.405310694,1,0.321711466,2315357.42,TRUE,FALSE,218.778,2203.47,3234,2740,494,247,630.4350331,14690,1952833.69,12280,634073.15,4213
17,"""dense""","""0.4""",TRUE,3000,7,TRUE,-750,750,-750,750,2400,0.413780185,1,0.277079485,1994141.05,TRUE,FALSE,221.605,2170.975,3221,2751,470,222,645.0104758,13649,1669173.39,11252,526200.36,3738
18,"""dense""","""0.4""",TRUE,3000,8,TRUE,-750,750,-750,750,2400,0.410875123,1,0.279622184,2012440.86,TRUE,FALSE,219.394,2164.059,3251,2782,469,213,473.6724868,13641,1684196.54,11252,553336.31,3778
19,"""dense""","""0.4""",TRUE,3000,9,TRUE,-750,750,-750,750,2400,0.396715227,1,0.336735701,2423486.84,TRUE,FALSE,215.635,2188.916,3264,2776,488,245,666.5883287,14710,2058064.09,12397,687458.7,4222
20,"""dense""","""0.4""",TRUE,3000,10,TRUE,-750,750,-750,750,2400,0.405741352,1,0.280437939,2018311.85,TRUE,FALSE,212.165,2205.638,3336,2864,472,211,503.210178,13277,1693871.89,11033,557224.8,3643
21,"""dense""","""0.4""",FALSE,500,1,TRUE,-750,750,-750,750,2400,0.423857529,1,0.280814406,336836.88,TRUE,FALSE,225.833,2103.787,3136,3045,91,36,425.8294714,2570,0,0,45754.56,342
22,"""dense""","""0.4""",FALSE,500,2,TRUE,-750,750,-750,750,2400,0.401210063,1,0.325190604,390066.13,TRUE,FALSE,227.016,2107.041,3205,3107,98,30,290.0656829,2441,0,0,47675.27,314
23,"""dense""","""0.4""",FALSE,500,3,TRUE,-750,750,-750,750,2400,0.407741475,1,0.335504102,402437.17,TRUE,FALSE,215.311,2116.772,3242,3156,86,25,487.3327571,2426,0,0,41675.78,247
24,"""dense""","""0.4""",FALSE,500,4,TRUE,-750,750,-750,750,2400,0.391655871,1,0.276038808,331108.55,TRUE,FALSE,213.632,2131.785,3103,3014,89,27,355.1467249,2349,0,0,41914.42,327
25,"""dense""","""0.4""",FALSE,500,5,TRUE,-750,750,-750,750,2400,0.411816556,1,0.374115823,448751.93,TRUE,FALSE,223.969,2114.02,3216,3114,102,35,374.7012143,2666,0,0,54466.17,320
