BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,
03/22/2016 15:40:27:356 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,depleted resources,max [dist-hive-max] of turtles
1,"""dense""","""0.4""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.421399761,1,5.819,4.61678466,5537833.2,951681.2511,1903.362502,FALSE,TRUE,75.334,1469.029,3133,2984,149,61,437.8124241
2,"""dense""","""0.4""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.412616347,1,5.819,9.168029554,1.10E+07,1889852.457,3779.704914,FALSE,TRUE,65.382,1437.002,3220,3035,185,74,376.4882489
3,"""dense""","""0.4""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.406427356,1,5.819,8.315009371,9973853.74,1714015.078,3428.030156,FALSE,TRUE,62.995,1419.915,3238,3048,190,77,437.2908372
4,"""dense""","""0.4""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.406507156,1,5.819,13.10074119,1.57E+07,2700522.265,5401.04453,FALSE,TRUE,67.647,1456.603,3238,3055,183,78,351.2464484
5,"""dense""","""0.4""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.408605302,1,5.819,18.46783836,2.22E+07,3806869.24,7613.73848,FALSE,TRUE,56.402,1414.543,3175,3010,165,60,463.9709043
6,"""dense""","""0.4""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.386587038,1,5.819,17.24301205,2.07E+07,3554389.577,7108.779154,FALSE,TRUE,59.691,1426.492,3179,3005,174,60,472.8546725
7,"""dense""","""0.4""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.396434925,1,5.819,11.40338762,1.37E+07,2350638.159,4701.276318,FALSE,TRUE,62.267,1450.025,3261,3087,174,72,441.6786162
8,"""dense""","""0.4""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.410069612,1,5.819,2.606854214,3126921.63,537364.0883,1074.728177,FALSE,TRUE,67.927,1464.187,3260,3088,172,62,376.0416869
9,"""dense""","""0.4""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.407670499,1,5.819,7.842112497,9406613.94,1616534.446,3233.068892,FALSE,TRUE,54.629,1471.011,3217,3026,191,70,353.0588981
10,"""dense""","""0.4""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.41870442,1,5.819,18.59153417,2.23E+07,3832367.286,7664.734572,FALSE,TRUE,59.614,1486.087,3123,2950,173,69,497.6023633
11,"""dense""","""0.4""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.421399761,1,5.819,5.576721178,4.01E+07,6897347.022,2299.115674,TRUE,FALSE,186.931,2060.112,3133,2601,532,263,555.9316505
12,"""dense""","""0.4""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.412616347,1,5.819,7.877548576,5.67E+07,9743034.387,3247.678129,TRUE,FALSE,185.087,2062.019,3220,2638,582,264,596.0536889
13,"""dense""","""0.4""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.406427356,1,5.819,4.174519869,3.00E+07,5163089.792,1721.029931,TRUE,FALSE,212.494,2100.276,3238,2642,596,283,603.0489201
14,"""dense""","""0.4""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.406507156,1,5.819,7.886069655,5.68E+07,9753573.348,3251.191116,TRUE,FALSE,213.443,2097.758,3238,2621,617,325,664.9330623
15,"""dense""","""0.4""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.408605302,1,5.819,9.480732557,6.82E+07,11725869.09,3908.62303,TRUE,FALSE,229.986,2112.231,3175,2580,595,324,580.9411397
