BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles
1,"""sparse""","""0.4""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.404950728,2,5.819,0.407238716,488482.84,FALSE,TRUE,82.649,1484.462,95,81,8,860.5099225
2,"""sparse""","""0.4""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.419077036,19,5.819,0.102679441,123163.99,FALSE,TRUE,467.952,1789.07,103,90,5,840.8526627
3,"""sparse""","""0.4""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.408967718,4,5.819,0.108387561,130010.88,FALSE,TRUE,115.139,1483.8,99,87,3,895.9637761
4,"""sparse""","""0.4""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.41249968,5,5.819,1.206666336,1447396.27,FALSE,TRUE,141.627,1485.993,119,99,6,693.9168834
5,"""sparse""","""0.4""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.419442849,16,5.819,0.129129454,154890.78,FALSE,TRUE,390.056,1762.866,93,83,5,828.7937697
6,"""sparse""","""0.4""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.42326614,2,5.819,1.5432205,1851092.99,FALSE,TRUE,80.91,1481.64,108,89,10,776.1430627
7,"""sparse""","""0.4""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.424580781,20,5.819,0.377760634,453123.88,FALSE,TRUE,497.772,1839.909,112,102,6,754.6872343
8,"""sparse""","""0.4""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.406597014,17,5.819,0.779995665,935604.8,FALSE,TRUE,417.911,1763.012,110,84,9,848.0283808
9,"""sparse""","""0.4""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.379322691,16,5.819,0.232984135,279464.47,FALSE,TRUE,515.914,1969.61,94,82,3,789.360164
10,"""sparse""","""0.4""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.394853905,1,5.819,2.236593114,2682793.44,FALSE,TRUE,42.353,1471.633,102,83,8,1008.337806
11,"""sparse""","""0.4""",TRUE,3000,1,-750,750,-750,750,2400,3000,TRUE,0.404950728,2,5.819,0.388355566,2794995.01,TRUE,FALSE,188.975,1972.435,95,58,17,883.3333468
12,"""sparse""","""0.4""",TRUE,3000,2,-750,750,-750,750,2400,3000,TRUE,0.419077036,19,5.819,0.06826082,491273.12,TRUE,FALSE,186.324,1931.205,103,75,11,807.1979312
13,"""sparse""","""0.4""",TRUE,3000,3,-750,750,-750,750,2400,3000,TRUE,0.408967718,4,5.819,0.048700653,350498.6,TRUE,FALSE,186.024,2008.77,99,70,13,854.0578221
14,"""sparse""","""0.4""",TRUE,3000,4,-750,750,-750,750,2400,3000,TRUE,0.41249968,5,5.819,0.345453835,2486231.25,TRUE,FALSE,189.435,2025.105,119,76,21,966.9245303
15,"""sparse""","""0.4""",TRUE,3000,5,-750,750,-750,750,2400,3000,TRUE,0.419442849,16,5.819,0.155445241,1118739.4,TRUE,FALSE,185.636,1997.002,93,65,16,861.5095224
16,"""sparse""","""0.4""",TRUE,3000,6,-750,750,-750,750,2400,3000,TRUE,0.42326614,2,5.819,0.330405133,2377925.74,TRUE,FALSE,190.602,1919.418,108,72,20,908.4207688
17,"""sparse""","""0.4""",TRUE,3000,7,-750,750,-750,750,2400,3000,TRUE,0.424580781,20,5.819,0.125719826,904805.59,TRUE,FALSE,184.732,1997.082,112,75,16,1026.093821
18,"""sparse""","""0.4""",TRUE,3000,8,-750,750,-750,750,2400,3000,TRUE,0.406597014,17,5.819,1.442041969,1.04E+07,TRUE,FALSE,188.933,2017.685,110,63,35,921.7273897
19,"""sparse""","""0.4""",TRUE,3000,9,-750,750,-750,750,2400,3000,TRUE,0.379322691,16,5.819,0.298542793,2148612.48,TRUE,FALSE,190.161,1986.347,94,67,17,868.3179929
20,"""sparse""","""0.4""",TRUE,3000,10,-750,750,-750,750,2400,3000,TRUE,0.394853905,1,5.819,0.401009187,2886063.12,TRUE,FALSE,196.327,1916.167,102,75,15,785.8840526
21,"""sparse""","""0.4""",FALSE,500,1,-750,750,-750,750,2400,500,FALSE,0.404950728,2,5.819,0.223824335,268477.29,TRUE,FALSE,184.599,1987.11,95,77,3,531.9102687
22,"""sparse""","""0.4""",FALSE,500,2,-750,750,-750,750,2400,500,FALSE,0.419077036,19,5.819,0.025109421,30118.75,TRUE,FALSE,188.429,2000.705,103,95,0,823.1357301
23,"""sparse""","""0.4""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.408967718,4,5.819,0.03099689,37180.77,TRUE,FALSE,200.365,1985.864,99,90,1,569.5789594
24,"""sparse""","""0.4""",FALSE,500,4,-750,750,-750,750,2400,500,FALSE,0.41249968,5,5.819,0.150397766,180402.12,TRUE,FALSE,200.405,1908.618,119,109,2,751.7462275
25,"""sparse""","""0.4""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.419442849,16,5.819,0.1119403,134272.39,TRUE,FALSE,184.217,1994.649,93,81,4,688.1337292
26,"""sparse""","""0.4""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.42326614,2,5.819,0.124656015,149524.89,TRUE,FALSE,189.112,2008.118,108,92,4,831.9683413
27,"""sparse""","""0.4""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.424580781,20,5.819,0.119105536,142867.09,TRUE,FALSE,205.417,1920.324,112,96,3,764.8158611
28,"""sparse""","""0.4""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.406597014,17,5.819,0.117422334,140848.09,TRUE,FALSE,207.083,2002.999,110,101,4,604.3461368
29,"""sparse""","""0.4""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.379322691,16,5.819,0.028671246,34391.16,TRUE,FALSE,184.823,1997.955,94,86,1,753.8435124
30,"""sparse""","""0.4""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.394853905,1,5.819,2.217771055,2660216.38,TRUE,FALSE,194.325,2015.77,102,90,8,797.9625184
31,"""sparse""","""0.4""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.404950728,2,5.819,0.189696054,1365242.5,TRUE,FALSE,205.834,1919.116,95,64,18,861.4346531
32,"""sparse""","""0.4""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.419077036,19,5.819,0.027098602,195028.64,TRUE,FALSE,197.2,2000.235,103,73,3,922.922866
33,"""sparse""","""0.4""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.408967718,4,5.819,0.027981228,201380.9,TRUE,FALSE,185.638,1994.224,99,73,9,852.2219623
34,"""sparse""","""0.4""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.41249968,5,5.819,0.07259925,522496.8,TRUE,FALSE,208.779,2038.875,119,88,9,841.767739
35,"""sparse""","""0.4""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.419442849,16,5.819,0.02530138,182094.03,TRUE,FALSE,203.45,1928.774,93,73,6,804.4672735
36,"""sparse""","""0.4""",FALSE,3000,6,-750,750,-750,750,2400,3000,FALSE,0.42326614,2,5.819,0.144650417,1041049.05,TRUE,FALSE,185.425,1995.2,108,72,11,821.4468383
37,"""sparse""","""0.4""",FALSE,3000,7,-750,750,-750,750,2400,3000,FALSE,0.424580781,20,5.819,0.083281844,599379.43,TRUE,FALSE,193.887,2033.26,112,84,10,832.5466134
