"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"R dense trials"
"02/29/2016 09:51:15:666 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1500","1500","-1500","1500"
"[run number]","resource_density","R_value","calc_R","[step]","R","loop-num","timer"
"1","""dense""","""0.4""","true","1","0.4052133006358952","1","155.503"
"2","""dense""","""0.4""","true","1","0.3963097179173461","2","305.684"
"3","""dense""","""0.4""","true","1","0.39559634591250736","1","155.107"
"4","""dense""","""0.4""","true","1","0.4086565119834833","1","156.277"
"5","""dense""","""0.4""","true","1","0.399954827365157","1","163.555"
"6","""dense""","""0.4""","true","1","0.39607174525597355","2","300.187"
"7","""dense""","""0.4""","true","1","0.3966037374086079","1","151.204"
"8","""dense""","""0.4""","true","1","0.3985384151905722","1","150.942"
"9","""dense""","""0.4""","true","1","0.4013530684686336","2","296.343"
"10","""dense""","""0.4""","true","1","0.39993337202306706","3","444.782"
