BehaviorSpace results (NetLogo 5.3),,,,,,,
Bees.nlogo,,,,,,,
R dense trials,,,,,,,
02/29/2016 09:34:00:045 -0800,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-500,500,-500,500,,,,
[run number],resource_density,R_value,calc_R,[step],R,loop-num,timer
1,"""dense""","""0.4""",TRUE,1,0.391376874,1,21.178
2,"""dense""","""0.4""",TRUE,1,0.398934572,2,35.462
3,"""dense""","""0.4""",TRUE,1,0.406034624,1,19.322
4,"""dense""","""0.4""",TRUE,1,0.399312891,2,42.129
5,"""dense""","""0.4""",TRUE,1,0.402204235,2,36.703
6,"""dense""","""0.4""",TRUE,1,0.396441283,3,56.013
7,"""dense""","""0.4""",TRUE,1,0.40919596,1,19.88
8,"""dense""","""0.4""",TRUE,1,0.408196042,3,50.923
9,"""dense""","""0.4""",TRUE,1,0.405204868,1,18.457
10,"""dense""","""0.4""",TRUE,1,0.3929061,5,98.158
11,"""dense""","""0.6""",TRUE,1,0.590886202,18,103.738
12,"""dense""","""0.6""",TRUE,1,0.600183928,4,20.517
13,"""dense""","""0.6""",TRUE,1,0.590180948,2,11.012
14,"""dense""","""0.6""",TRUE,1,0.591847332,5,25.688
15,"""dense""","""0.6""",TRUE,1,0.595865953,14,68.513
16,"""dense""","""0.6""",TRUE,1,0.595835061,1,5.762
17,"""dense""","""0.6""",TRUE,1,0.59500919,30,156.452
18,"""dense""","""0.6""",TRUE,1,0.593261532,20,102.021
19,"""dense""","""0.6""",TRUE,1,0.593585512,25,140.812
20,"""dense""","""0.6""",TRUE,1,0.590114572,6,34.93
21,"""dense""","""0.8""",TRUE,1,0.803394127,1,17.665
22,"""dense""","""0.8""",TRUE,1,0.803134494,6,102.39
23,"""dense""","""0.8""",TRUE,1,0.792984634,2,41.528
24,"""dense""","""0.8""",TRUE,1,0.792396998,1,18.515
25,"""dense""","""0.8""",TRUE,1,0.794494297,1,18.314
26,"""dense""","""0.8""",TRUE,1,0.807936545,3,62.161
27,"""dense""","""0.8""",TRUE,1,0.791707297,3,53.872
28,"""dense""","""0.8""",TRUE,1,0.795838588,3,55.722
29,"""dense""","""0.8""",TRUE,1,0.803814266,1,17.363
30,"""dense""","""0.8""",TRUE,1,0.793762498,4,60.497
31,"""dense""","""1.0""",TRUE,1,0.995729683,9,18.721
32,"""dense""","""1.0""",TRUE,1,1.002005797,1,2.231
33,"""dense""","""1.0""",TRUE,1,0.999323597,8,14.659
34,"""dense""","""1.0""",TRUE,1,1.009486695,1,2.473
35,"""dense""","""1.0""",TRUE,1,1.000508952,2,4.194
36,"""dense""","""1.0""",TRUE,1,1.001553821,1,2.424
37,"""dense""","""1.0""",TRUE,1,1.001087685,2,4.497
38,"""dense""","""1.0""",TRUE,1,1.000439833,2,4.322
39,"""dense""","""1.0""",TRUE,1,0.990665732,3,5.797
40,"""dense""","""1.0""",TRUE,1,1.00182118,2,3.691
