"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"R trials"
"04/18/2016 11:46:27:130 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-750","750","-750","750"
"[run number]","resource_density","R_value","communication?","population","repetitions","save_map","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","R","loop-num","timer"
"3","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.38031271921163384","5","152.706"
"2","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.5235254538634697","10","289.176"
"1","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.8110487678529846","10","333.864"
"4","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.9337228763194011","10","371.167"
"5","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.5912408459002063","10","298"
"6","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.5456497108811476","10","283.406"
"7","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.7449143791863845","10","324.202"
"8","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.5416250658151219","10","360.864"
"9","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.4957488729532571","10","291.598"
"10","""extra_sparse""","""0.4""","true","500","1","false","-750","750","-750","750","0","0.762968767512484","10","279.022"
"13","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.6211611282997069","5","150.864"
"12","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.6040359943583258","6","222.803"
"11","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.9316467593303686","10","328.414"
"16","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.6172496690552294","2","73.902"
"18","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.5841841667789797","1","38.245"
"14","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.7587353053488374","10","283.753"
"15","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.988321540294039","10","294.458"
"17","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.7377108957350441","10","323.892"
"21","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","1.272621504420193","10","212.134"
"20","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.7471099326932443","10","281.551"
"19","""extra_sparse""","""0.6""","true","500","1","false","-750","750","-750","750","0","0.6614809505978556","10","360.561"
"22","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.8162368053755897","7","161.61"
"24","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.7704174416609593","3","59.541"
"26","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.8195663165536516","1","22.533"
"27","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.8298453851040497","2","38.433"
"25","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.8279962835166547","4","99.718"
"28","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.7976914442920463","4","91.465"
"23","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.8511800119072361","10","204.36"
"31","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.011733554822237","9","43.859"
"33","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.0177832238781697","1","5.519"
"32","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.029964395778314","10","41.828"
"35","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.0124466369187923","1","4.847"
"34","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.001773448654474","8","39.271"
"29","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.81629971578464","8","161.012"
"30","""extra_sparse""","""0.8""","true","500","1","false","-750","750","-750","750","0","0.7955330118413133","6","155.243"
"39","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","0.9948601222987354","1","5.623"
"36","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.0275010210611082","10","41.774"
"37","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.022348301701841","5","24.529"
"38","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","0.8200545954868159","10","37.547"
"40","""extra_sparse""","""1.0""","true","500","1","false","-750","750","-750","750","0","1.00292095229723","10","37.848"
