BehaviorSpace results (NetLogo 5.3),,,,,,
Bees.nlogo,,,,,,
R trials,,,,,,
03/02/2016 12:10:06:268 -0800,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,
-500,500,-500,500,,,
[run number],resource_density,R_value,[step],R,loop-num,timer
1,"""sparse""","""0.4""",0,0.630254996,11,835.054
2,"""sparse""","""0.4""",0,0.667064851,11,839.759
3,"""sparse""","""0.4""",0,0.625145554,11,812.751
4,"""sparse""","""0.4""",0,0.592359998,11,850.419
5,"""sparse""","""0.4""",0,0.614538202,11,806.563
6,"""sparse""","""0.4""",0,0.622462503,11,806.639
7,"""sparse""","""0.4""",0,0.622463616,11,806.6
8,"""sparse""","""0.4""",0,0.61093619,11,806.226
9,"""sparse""","""0.4""",0,0.644248414,11,807.154
10,"""sparse""","""0.4""",0,0.657679909,11,805.365
11,"""sparse""","""0.6""",0,0.582288708,3,401.532
12,"""sparse""","""0.6""",0,0.617135354,5,666.816
13,"""sparse""","""0.6""",0,0.57283988,3,443.931
14,"""sparse""","""0.6""",0,0.59646731,2,268.48
15,"""sparse""","""0.6""",0,0.629314069,2,269.235
16,"""sparse""","""0.6""",0,0.626259557,4,533.715
17,"""sparse""","""0.6""",0,0.611667364,7,934.936
18,"""sparse""","""0.6""",0,0.598308324,1,136.652
19,"""sparse""","""0.6""",0,0.621708219,6,802.241
20,"""sparse""","""0.6""",0,0.600451784,2,269.075
21,"""sparse""","""0.8""",0,0.746419762,11,1181.151
22,"""sparse""","""0.8""",0,0.772035919,6,619.767
23,"""sparse""","""0.8""",0,0.778542025,2,208.511
24,"""sparse""","""0.8""",0,0.778432924,10,1035.798
25,"""sparse""","""0.8""",0,0.821111784,3,312.652
26,"""sparse""","""0.8""",0,0.780527066,4,415.43
27,"""sparse""","""0.8""",0,0.782460765,4,415.454
28,"""sparse""","""0.8""",0,0.774162014,1,105.792
29,"""sparse""","""0.8""",0,0.712287302,11,1137.558
30,"""sparse""","""0.8""",0,0.840286295,11,1177.733
31,"""sparse""","""1.0""",0,1.012889384,1,15.828
32,"""sparse""","""1.0""",0,1.01503505,2,28.869
33,"""sparse""","""1.0""",0,1.006194114,1,15.583
34,"""sparse""","""1.0""",0,0.99113807,1,15.621
35,"""sparse""","""1.0""",0,1.004239904,5,68.412
36,"""sparse""","""1.0""",0,1.016049069,1,15.542
37,"""sparse""","""1.0""",0,1.008443182,1,15.664
38,"""sparse""","""1.0""",0,1.007161128,1,15.888
39,"""sparse""","""1.0""",0,1.026136692,1,15.657
40,"""sparse""","""1.0""",0,1.028393838,1,15.842
41,"""dense""","""0.4""",0,0.389500898,1,155.75
42,"""dense""","""0.4""",0,0.405773228,1,155.068
43,"""dense""","""0.4""",0,0.399199106,1,155.64
44,"""dense""","""0.4""",0,0.410558876,1,154.908
45,"""dense""","""0.4""",0,0.3962773,1,156.196
46,"""dense""","""0.4""",0,0.403024879,1,155.407
47,"""dense""","""0.4""",0,0.393949468,1,155.607
48,"""dense""","""0.4""",0,0.397747492,1,155.498
49,"""dense""","""0.4""",0,0.403817513,1,155.062
50,"""dense""","""0.4""",0,0.39426315,1,155.364
51,"""dense""","""0.6""",0,0.603686234,1,108.275
52,"""dense""","""0.6""",0,0.596810919,1,107.473
53,"""dense""","""0.6""",0,0.590716467,1,108.516
54,"""dense""","""0.6""",0,0.604178499,1,108.079
55,"""dense""","""0.6""",0,0.59372554,1,108.626
56,"""dense""","""0.6""",0,0.611437587,1,107.436
57,"""dense""","""0.6""",0,0.612393333,1,108.003
58,"""dense""","""0.6""",0,0.60515299,1,107.746
59,"""dense""","""0.6""",0,0.610300886,1,108.136
60,"""dense""","""0.6""",0,0.619293451,1,107.644
61,"""dense""","""0.8""",0,0.797542209,1,156.233
62,"""dense""","""0.8""",0,0.801154762,1,156.22
63,"""dense""","""0.8""",0,0.799866369,1,155.749
64,"""dense""","""0.8""",0,0.773093147,1,156.8
65,"""dense""","""0.8""",0,0.790891861,1,155.549
66,"""dense""","""0.8""",0,0.799274701,1,155.512
67,"""dense""","""0.8""",0,0.797723666,1,156.322
68,"""dense""","""0.8""",0,0.795632543,1,156.143
69,"""dense""","""0.8""",0,0.784482995,1,156.213
70,"""dense""","""0.8""",0,0.797794284,1,155.517
71,"""dense""","""1.0""",0,1.00405628,1,36.742
72,"""dense""","""1.0""",0,1.011420394,1,36.404
73,"""dense""","""1.0""",0,1.004242669,1,36.466
74,"""dense""","""1.0""",0,1.011514058,1,36.771
75,"""dense""","""1.0""",0,1.000218961,1,37.047
76,"""dense""","""1.0""",0,1.019510758,1,36.175
77,"""dense""","""1.0""",0,0.994363907,1,36.857
78,"""dense""","""1.0""",0,1.010298052,1,35.971
79,"""dense""","""1.0""",0,0.993748531,1,36.689
80,"""dense""","""1.0""",0,1.001859867,1,36.731
