"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"R trials"
"03/06/2016 15:32:27:297 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","R_value","[step]","R","loop-num","timer"
"1","""sparse""","""0.4""","0","0.5031089246307161","16","1356.209"
"2","""sparse""","""0.4""","0","0.5985383957978222","16","1350.618"
"3","""sparse""","""0.4""","0","0.5394447678681595","16","1356.345"
"4","""sparse""","""0.4""","0","0.5367113395398796","16","1353.773"
"5","""sparse""","""0.4""","0","0.5830256171947809","16","1351.08"
"6","""sparse""","""0.4""","0","0.4905828618236284","16","1346.736"
"7","""sparse""","""0.4""","0","0.5947559716019217","16","1344.742"
"8","""sparse""","""0.4""","0","0.576995177270798","16","1347.414"
"9","""sparse""","""0.4""","0","0.5194491165525331","16","1348.835"
"10","""sparse""","""0.4""","0","0.5957240313073913","16","1386.069"
"11","""sparse""","""0.6""","0","0.6008570080564778","3","200.92"
"12","""sparse""","""0.6""","0","0.574132141389527","1","68.516"
"13","""sparse""","""0.6""","0","0.6282178936196736","5","332.65"
"14","""sparse""","""0.6""","0","0.5941857556364679","3","200.978"
"15","""sparse""","""0.6""","0","0.5835887221133758","1","68.46"
"16","""sparse""","""0.6""","0","0.6251973444897424","1","68.571"
"17","""sparse""","""0.6""","0","0.6105554020250196","1","68.603"
"18","""sparse""","""0.6""","0","0.6007235588232949","1","68.734"
"19","""sparse""","""0.6""","0","0.5899556824686887","3","200.746"
"20","""sparse""","""0.6""","0","0.5947985719515568","3","200.427"
"21","""sparse""","""0.8""","0","0.5584435618874172","16","1912.716"
"22","""sparse""","""0.8""","0","0.7835187785176346","15","1791.754"
"23","""sparse""","""0.8""","0","0.5602914401798332","16","1953.078"
"24","""sparse""","""0.8""","0","0.6133770493118618","16","1911.137"
"25","""sparse""","""0.8""","0","0.6109908006543336","16","1917.194"
"26","""sparse""","""0.8""","0","0.7313902413056134","16","1920.867"
"27","""sparse""","""0.8""","0","0.6122517325271645","16","1916.767"
"28","""sparse""","""0.8""","0","0.693043643261804","16","1913.154"
"29","""sparse""","""0.8""","0","0.6104095677086795","16","1918.163"
"30","""sparse""","""0.8""","0","0.6758457288223566","16","1912.8"
"31","""sparse""","""1.0""","0","1.0243222245127532","1","15.308"
"32","""sparse""","""1.0""","0","1.0220979274616917","1","14.953"
"33","""sparse""","""1.0""","0","0.9972107437755049","2","27.783"
"34","""sparse""","""1.0""","0","0.9761430990763449","2","27.896"
"35","""sparse""","""1.0""","0","1.0072741902001168","2","27.74"
"36","""sparse""","""1.0""","0","0.9895350402546012","1","15.003"
"37","""sparse""","""1.0""","0","0.984019356262545","2","27.772"
"38","""sparse""","""1.0""","0","1.0037288272368914","1","14.947"
"39","""sparse""","""1.0""","0","1.0103444653596634","1","37.811"
"40","""sparse""","""1.0""","0","0.9953642477581026","1","14.972"
