BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
R testing,,,,,,,,
02/16/2016 08:42:42:963 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],c1_mult,c2_mult,patchiness,resource_density,calc_R,[step],R,timer
1,1,1,1,"""sparse""",TRUE,1,1.037781601,3.551
2,1,1,1,"""dense""",TRUE,1,0.96863891,51.953
3,1,1,5,"""sparse""",TRUE,1,1.368598238,4.966
4,1,1,5,"""dense""",TRUE,1,1.001029633,52.86
5,1,1,9,"""sparse""",TRUE,1,1.245758739,7.624
6,1,1,9,"""dense""",TRUE,1,1.015065792,55.702
7,1,1,13,"""sparse""",TRUE,1,1.071736529,9.831
8,1,1,13,"""dense""",TRUE,1,1.002295477,56.413
9,1,1,17,"""sparse""",TRUE,1,1.269219163,11.682
10,1,1,17,"""dense""",TRUE,1,1.042493191,57.357
11,1,1,21,"""sparse""",TRUE,1,1.183284034,13.762
12,1,1,21,"""dense""",TRUE,1,1.034233337,60.949
13,1,41,1,"""sparse""",TRUE,1,1.013448951,3.276
14,1,41,1,"""dense""",TRUE,1,1.031008887,50.504
15,1,41,5,"""sparse""",TRUE,1,1.164946648,5.271
16,1,41,5,"""dense""",TRUE,1,0.767410378,52.273
17,1,41,9,"""sparse""",TRUE,1,1.052914264,7.431
18,1,41,9,"""dense""",TRUE,1,0.739493332,55.036
19,1,41,13,"""sparse""",TRUE,1,0.821621204,10.347
20,1,41,13,"""dense""",TRUE,1,0.68189359,58.48
21,1,41,17,"""sparse""",TRUE,1,1.009090928,11.708
22,1,41,17,"""dense""",TRUE,1,0.725838346,60.569
23,1,41,21,"""sparse""",TRUE,1,0.882367682,14.174
24,1,41,21,"""dense""",TRUE,1,0.674001411,63.636
25,1,81,1,"""sparse""",TRUE,1,0.812729898,3.939
26,1,81,1,"""dense""",TRUE,1,1.032815062,50.337
27,1,81,5,"""sparse""",TRUE,1,0.959114166,5.436
28,1,81,5,"""dense""",TRUE,1,0.622137686,52.95
29,1,81,9,"""sparse""",TRUE,1,1.038426901,7.654
30,1,81,9,"""dense""",TRUE,1,0.60950892,54.815
31,1,81,13,"""sparse""",TRUE,1,0.835354693,10.235
32,1,81,13,"""dense""",TRUE,1,0.587881463,56.788
33,1,81,17,"""sparse""",TRUE,1,1.03061987,12.067
34,1,81,17,"""dense""",TRUE,1,0.568320987,61.969
35,1,81,21,"""sparse""",TRUE,1,0.925867728,14.278
36,1,81,21,"""dense""",TRUE,1,0.581732591,62.544
37,1,121,1,"""sparse""",TRUE,1,1.137218997,3.176
38,1,121,1,"""dense""",TRUE,1,1.012958472,50.573
39,1,121,5,"""sparse""",TRUE,1,1.075249438,5.589
40,1,121,5,"""dense""",TRUE,1,0.557448019,50.028
41,1,121,9,"""sparse""",TRUE,1,0.95816634,7.703
42,1,121,9,"""dense""",TRUE,1,0.550099882,54.793
43,1,121,13,"""sparse""",TRUE,1,1.040085451,9.953
44,1,121,13,"""dense""",TRUE,1,0.519499353,58.599
45,1,121,17,"""sparse""",TRUE,1,0.83112476,12.757
46,1,121,17,"""dense""",TRUE,1,0.510867198,59.903
47,1,121,21,"""sparse""",TRUE,1,1.266167882,13.916
48,1,121,21,"""dense""",TRUE,1,0.484914549,63.774
49,1,161,1,"""sparse""",TRUE,1,1.188678716,3.373
50,1,161,1,"""dense""",TRUE,1,1.011298863,51.78
51,1,161,5,"""sparse""",TRUE,1,1.207259767,5.68
52,1,161,5,"""dense""",TRUE,1,0.4783317,50.996
53,1,161,9,"""sparse""",TRUE,1,0.863109064,8.453
54,1,161,9,"""dense""",TRUE,1,0.488811053,54.644
55,1,161,13,"""sparse""",TRUE,1,1.006356318,10.024
56,1,161,13,"""dense""",TRUE,1,0.508527419,55.793
57,1,161,17,"""sparse""",TRUE,1,0.921014041,11.977
58,1,161,17,"""dense""",TRUE,1,0.467264378,59.175
59,1,161,21,"""sparse""",TRUE,1,1.049416978,14.267
60,1,161,21,"""dense""",TRUE,1,0.446193148,63.27
61,1,201,1,"""sparse""",TRUE,1,1.249761203,3.146
62,1,201,1,"""dense""",TRUE,1,1.032497419,49.239
63,1,201,5,"""sparse""",TRUE,1,1.208591061,5.561
64,1,201,5,"""dense""",TRUE,1,0.470778358,51.73
65,1,201,9,"""sparse""",TRUE,1,0.823332778,7.94
66,1,201,9,"""dense""",TRUE,1,0.467386337,53.62
67,1,201,13,"""sparse""",TRUE,1,1.131528053,9.753
68,1,201,13,"""dense""",TRUE,1,0.405462871,57.248
69,1,201,17,"""sparse""",TRUE,1,1.199878755,11.78
70,1,201,17,"""dense""",TRUE,1,0.426418526,57.312
71,1,201,21,"""sparse""",TRUE,1,1.021199305,14.048
72,1,201,21,"""dense""",TRUE,1,0.419588087,62.224
73,41,1,1,"""sparse""",TRUE,1,1.142522209,3.353
74,41,1,1,"""dense""",TRUE,1,0.999829838,52.191
75,41,1,5,"""sparse""",TRUE,1,1.182942487,5.675
76,41,1,5,"""dense""",TRUE,1,0.830822708,53.133
77,41,1,9,"""sparse""",TRUE,1,1.173300031,7.662
78,41,1,9,"""dense""",TRUE,1,0.801868894,53.984
79,41,1,13,"""sparse""",TRUE,1,0.928120015,9.867
80,41,1,13,"""dense""",TRUE,1,0.811325491,56.055
81,41,1,17,"""sparse""",TRUE,1,1.000164895,12.162
82,41,1,17,"""dense""",TRUE,1,0.802741013,58.784
83,41,1,21,"""sparse""",TRUE,1,0.885724842,14.641
84,41,1,21,"""dense""",TRUE,1,0.780737617,60.571
85,41,41,1,"""sparse""",TRUE,1,1.082242236,3.707
86,41,41,1,"""dense""",TRUE,1,1.02698994,50.565
87,41,41,5,"""sparse""",TRUE,1,1.127343284,5.422
88,41,41,5,"""dense""",TRUE,1,0.665493615,52.884
89,41,41,9,"""sparse""",TRUE,1,1.041846943,7.69
90,41,41,9,"""dense""",TRUE,1,0.691158425,53.419
91,41,41,13,"""sparse""",TRUE,1,0.960794242,10.011
92,41,41,13,"""dense""",TRUE,1,0.603313672,58.555
93,41,41,17,"""sparse""",TRUE,1,1.040259982,12.282
94,41,41,17,"""dense""",TRUE,1,0.611853971,61.094
95,41,41,21,"""sparse""",TRUE,1,1.092647768,13.971
96,41,41,21,"""dense""",TRUE,1,0.64320009,61.884
97,41,81,1,"""sparse""",TRUE,1,1.258430232,2.942
98,41,81,1,"""dense""",TRUE,1,1.021254302,50.678
99,41,81,5,"""sparse""",TRUE,1,1.27046918,5.617
100,41,81,5,"""dense""",TRUE,1,0.573093284,51.687
101,41,81,9,"""sparse""",TRUE,1,1.066426007,7.757
102,41,81,9,"""dense""",TRUE,1,0.582759975,53.497
103,41,81,13,"""sparse""",TRUE,1,1.208684198,9.389
104,41,81,13,"""dense""",TRUE,1,0.506222002,60.406
105,41,81,17,"""sparse""",TRUE,1,0.946926628,12.213
106,41,81,17,"""dense""",TRUE,1,0.550780296,59.262
107,41,81,21,"""sparse""",TRUE,1,1.152634143,13.979
108,41,81,21,"""dense""",TRUE,1,0.537449669,61.897
109,41,121,1,"""sparse""",TRUE,1,1.119102908,3.493
110,41,121,1,"""dense""",TRUE,1,1.020988194,49.669
111,41,121,5,"""sparse""",TRUE,1,0.954568578,5.543
112,41,121,5,"""dense""",TRUE,1,0.526940923,51.772
113,41,121,9,"""sparse""",TRUE,1,1.142126652,7.326
114,41,121,9,"""dense""",TRUE,1,0.497248163,55.299
115,41,121,13,"""sparse""",TRUE,1,1.007280005,9.836
116,41,121,13,"""dense""",TRUE,1,0.45306266,58.408
117,41,121,17,"""sparse""",TRUE,1,1.038464867,12.035
118,41,121,17,"""dense""",TRUE,1,0.501135991,57.75
119,41,121,21,"""sparse""",TRUE,1,0.880589743,14.374
120,41,121,21,"""dense""",TRUE,1,0.478323799,60.418
121,41,161,1,"""sparse""",TRUE,1,1.220806262,3.375
122,41,161,1,"""dense""",TRUE,1,1.013484189,51.561
123,41,161,5,"""sparse""",TRUE,1,0.869794139,5.499
124,41,161,5,"""dense""",TRUE,1,0.485421593,53.641
125,41,161,9,"""sparse""",TRUE,1,0.879655683,7.875
126,41,161,9,"""dense""",TRUE,1,0.461205515,56.184
127,41,161,13,"""sparse""",TRUE,1,0.852462123,10.257
128,41,161,13,"""dense""",TRUE,1,0.42624579,56.287
129,41,161,17,"""sparse""",TRUE,1,1.067110015,12.012
130,41,161,17,"""dense""",TRUE,1,0.4200454,59.104
131,41,161,21,"""sparse""",TRUE,1,1.089503324,13.598
132,41,161,21,"""dense""",TRUE,1,0.426503727,60.027
133,41,201,1,"""sparse""",TRUE,1,1.107403207,3.17
134,41,201,1,"""dense""",TRUE,1,1.025705697,48.745
135,41,201,5,"""sparse""",TRUE,1,1.125076568,5.6
136,41,201,5,"""dense""",TRUE,1,0.424460797,53.865
137,41,201,9,"""sparse""",TRUE,1,1.059820626,7.548
138,41,201,9,"""dense""",TRUE,1,0.41695304,53.644
139,41,201,13,"""sparse""",TRUE,1,0.780331505,10.213
140,41,201,13,"""dense""",TRUE,1,0.411496611,55.061
141,41,201,17,"""sparse""",TRUE,1,0.76266397,12.518
142,41,201,17,"""dense""",TRUE,1,0.388680273,59.384
143,41,201,21,"""sparse""",TRUE,1,0.867276665,14.189
144,41,201,21,"""dense""",TRUE,1,0.385779189,60.366
145,81,1,1,"""sparse""",TRUE,1,1.157689225,3.4
146,81,1,1,"""dense""",TRUE,1,1.026413327,49.798
147,81,1,5,"""sparse""",TRUE,1,1.182765735,5.249
148,81,1,5,"""dense""",TRUE,1,0.705533284,53.719
149,81,1,9,"""sparse""",TRUE,1,0.977954702,7.672
150,81,1,9,"""dense""",TRUE,1,0.773847827,54.432
151,81,1,13,"""sparse""",TRUE,1,1.045445449,9.78
152,81,1,13,"""dense""",TRUE,1,0.657641231,57.262
153,81,1,17,"""sparse""",TRUE,1,0.989602345,12.142
154,81,1,17,"""dense""",TRUE,1,0.699350268,59.671
155,81,1,21,"""sparse""",TRUE,1,1.000901422,14.095
156,81,1,21,"""dense""",TRUE,1,0.665172496,62.482
157,81,41,1,"""sparse""",TRUE,1,1.124197933,3.362
158,81,41,1,"""dense""",TRUE,1,1.025369672,49.855
159,81,41,5,"""sparse""",TRUE,1,0.941322929,5.748
160,81,41,5,"""dense""",TRUE,1,0.619372113,51.393
161,81,41,9,"""sparse""",TRUE,1,1.098627247,7.902
162,81,41,9,"""dense""",TRUE,1,0.584827893,56.536
163,81,41,13,"""sparse""",TRUE,1,0.99051382,9.602
164,81,41,13,"""dense""",TRUE,1,0.578649854,57.897
165,81,41,17,"""sparse""",TRUE,1,0.88547553,11.89
166,81,41,17,"""dense""",TRUE,1,0.531379748,60.222
167,81,41,21,"""sparse""",TRUE,1,0.96167544,14.35
168,81,41,21,"""dense""",TRUE,1,0.554691721,60.377
169,81,81,1,"""sparse""",TRUE,1,1.085642105,3.587
170,81,81,1,"""dense""",TRUE,1,0.999697101,50.97
171,81,81,5,"""sparse""",TRUE,1,1.054663074,5.565
172,81,81,5,"""dense""",TRUE,1,0.562480675,50.324
173,81,81,9,"""sparse""",TRUE,1,1.153625383,7.805
174,81,81,9,"""dense""",TRUE,1,0.511331405,54.636
175,81,81,13,"""sparse""",TRUE,1,0.889479982,9.871
176,81,81,13,"""dense""",TRUE,1,0.477719441,56.825
177,81,81,17,"""sparse""",TRUE,1,1.138726238,11.824
178,81,81,17,"""dense""",TRUE,1,0.47292021,60.669
179,81,81,21,"""sparse""",TRUE,1,1.015757086,14.234
180,81,81,21,"""dense""",TRUE,1,0.517145388,60.897
181,81,121,1,"""sparse""",TRUE,1,1.196796084,3.521
182,81,121,1,"""dense""",TRUE,1,0.997045935,52.894
183,81,121,5,"""sparse""",TRUE,1,0.978785767,5.758
