"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/22/2016 03:56:41:746 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"4","""sparse""","1","1","1","true","1","44.532888","57"
"9","""sparse""","1","1","1","true","1","44.532888","53"
"3","""sparse""","1","1","1","true","1","44.532888","36"
"5","""sparse""","1","1","1","true","1","44.532888","43"
"7","""sparse""","1","1","1","true","1","44.532888","39"
"8","""sparse""","1","1","1","true","1","44.532888","55"
"10","""sparse""","1","1","1","true","1","44.532888","43"
"6","""sparse""","1","1","1","true","1","44.532888","38"
"2","""sparse""","1","1","1","true","1","44.532888","44"
"1","""sparse""","1","1","1","true","1","44.532888","52"
"11","""sparse""","1","1","1","true","1","44.532888","39"
"12","""sparse""","1","1","1","true","1","44.532888","44"
"13","""sparse""","1","1","1","true","1","44.532888","40"
"14","""sparse""","1","1","1","true","1","44.532888","38"
"15","""sparse""","1","1","1","true","1","44.532888","45"
"17","""sparse""","1","1","1","true","1","44.532888","49"
"16","""sparse""","1","1","1","true","1","44.532888","49"
"18","""sparse""","1","1","1","true","1","44.532888","38"
"19","""sparse""","1","1","1","true","1","44.532888","47"
"20","""sparse""","1","1","1","true","1","44.532888","59"
"21","""sparse""","1","1","41","true","1","44.532888","41"
"22","""sparse""","1","1","41","true","1","44.532888","45"
"23","""sparse""","1","1","41","true","1","44.532888","46"
"24","""sparse""","1","1","41","true","1","44.532888","35"
"27","""sparse""","1","1","41","true","1","44.532888","41"
"25","""sparse""","1","1","41","true","1","44.532888","44"
"26","""sparse""","1","1","41","true","1","44.532888","43"
"28","""sparse""","1","1","41","true","1","44.532888","35"
"29","""sparse""","1","1","41","true","1","44.532888","34"
"30","""sparse""","1","1","41","true","1","44.532888","59"
"31","""sparse""","1","1","41","true","1","44.532888","41"
"33","""sparse""","1","1","41","true","1","44.532888","43"
"32","""sparse""","1","1","41","true","1","44.532888","36"
"34","""sparse""","1","1","41","true","1","44.532888","48"
"35","""sparse""","1","1","41","true","1","44.532888","48"
"36","""sparse""","1","1","41","true","1","44.532888","43"
"38","""sparse""","1","1","41","true","1","44.532888","46"
"37","""sparse""","1","1","41","true","1","44.532888","42"
"39","""sparse""","1","1","41","true","1","44.532888","43"
"40","""sparse""","1","1","41","true","1","44.532888","45"
"41","""sparse""","1","1","81","true","1","44.532888","30"
"42","""sparse""","1","1","81","true","1","44.532888","47"
"43","""sparse""","1","1","81","true","1","44.532888","51"
"44","""sparse""","1","1","81","true","1","44.532888","47"
"45","""sparse""","1","1","81","true","1","44.532888","38"
"46","""sparse""","1","1","81","true","1","44.532888","44"
"47","""sparse""","1","1","81","true","1","44.532888","41"
"49","""sparse""","1","1","81","true","1","44.532888","49"
"48","""sparse""","1","1","81","true","1","44.532888","42"
"50","""sparse""","1","1","81","true","1","44.532888","40"
"51","""sparse""","1","1","81","true","1","44.532888","44"
"52","""sparse""","1","1","81","true","1","44.532888","50"
"53","""sparse""","1","1","81","true","1","44.532888","50"
"54","""sparse""","1","1","81","true","1","44.532888","50"
"55","""sparse""","1","1","81","true","1","44.532888","44"
"56","""sparse""","1","1","81","true","1","44.532888","56"
"57","""sparse""","1","1","81","true","1","44.532888","43"
"58","""sparse""","1","1","81","true","1","44.532888","35"
"59","""sparse""","1","1","81","true","1","44.532888","37"
"60","""sparse""","1","1","81","true","1","44.532888","47"
"61","""sparse""","1","1","121","true","1","44.532888","56"
"62","""sparse""","1","1","121","true","1","44.532888","43"
"63","""sparse""","1","1","121","true","1","44.532888","50"
"64","""sparse""","1","1","121","true","1","44.532888","33"
"65","""sparse""","1","1","121","true","1","44.532888","35"
"66","""sparse""","1","1","121","true","1","44.532888","56"
"67","""sparse""","1","1","121","true","1","44.532888","38"
