"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"resource_nums"
"02/16/2016 16:29:37:581 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-500","500","-500","500"
"[run number]","resource_density","patchiness","c1_mult","c2_mult","calc_R","[step]","num-patches-r","count patches with [resource?]"
"2","""sparse""","1","1","1","false","1","44.532888","54"
"7","""sparse""","1","1","1","false","1","44.532888","43"
"6","""sparse""","1","1","1","false","1","44.532888","39"
"4","""sparse""","1","1","1","false","1","44.532888","42"
"3","""sparse""","1","1","1","false","1","44.532888","36"
"8","""sparse""","1","1","1","false","1","44.532888","55"
"5","""sparse""","1","1","1","false","1","44.532888","43"
"1","""sparse""","1","1","1","false","1","44.532888","34"
"9","""sparse""","1","1","1","false","1","44.532888","43"
"10","""sparse""","1","1","1","false","1","44.532888","45"
"11","""sparse""","1","1","41","false","1","44.532888","46"
"12","""sparse""","1","1","41","false","1","44.532888","40"
"13","""sparse""","1","1","41","false","1","44.532888","47"
"15","""sparse""","1","1","41","false","1","44.532888","45"
"14","""sparse""","1","1","41","false","1","44.532888","44"
"16","""sparse""","1","1","41","false","1","44.532888","45"
"17","""sparse""","1","1","41","false","1","44.532888","36"
"18","""sparse""","1","1","41","false","1","44.532888","38"
"19","""sparse""","1","1","41","false","1","44.532888","53"
"20","""sparse""","1","1","41","false","1","44.532888","35"
"21","""sparse""","1","1","81","false","1","44.532888","47"
"22","""sparse""","1","1","81","false","1","44.532888","42"
"23","""sparse""","1","1","81","false","1","44.532888","48"
"24","""sparse""","1","1","81","false","1","44.532888","44"
"25","""sparse""","1","1","81","false","1","44.532888","45"
"27","""sparse""","1","1","81","false","1","44.532888","41"
"26","""sparse""","1","1","81","false","1","44.532888","36"
"28","""sparse""","1","1","81","false","1","44.532888","40"
"29","""sparse""","1","1","81","false","1","44.532888","54"
"30","""sparse""","1","1","81","false","1","44.532888","49"
"32","""sparse""","1","1","121","false","1","44.532888","53"
"31","""sparse""","1","1","121","false","1","44.532888","47"
"33","""sparse""","1","1","121","false","1","44.532888","40"
"34","""sparse""","1","1","121","false","1","44.532888","39"
"35","""sparse""","1","1","121","false","1","44.532888","48"
"36","""sparse""","1","1","121","false","1","44.532888","47"
"37","""sparse""","1","1","121","false","1","44.532888","45"
"38","""sparse""","1","1","121","false","1","44.532888","45"
"39","""sparse""","1","1","121","false","1","44.532888","38"
"40","""sparse""","1","1","121","false","1","44.532888","60"
"41","""sparse""","1","1","161","false","1","44.532888","43"
"42","""sparse""","1","1","161","false","1","44.532888","40"
"43","""sparse""","1","1","161","false","1","44.532888","39"
"44","""sparse""","1","1","161","false","1","44.532888","41"
"45","""sparse""","1","1","161","false","1","44.532888","51"
"47","""sparse""","1","1","161","false","1","44.532888","47"
"46","""sparse""","1","1","161","false","1","44.532888","44"
"48","""sparse""","1","1","161","false","1","44.532888","42"
"49","""sparse""","1","1","161","false","1","44.532888","52"
"50","""sparse""","1","1","161","false","1","44.532888","48"
"51","""sparse""","1","1","201","false","1","44.532888","45"
"52","""sparse""","1","1","201","false","1","44.532888","56"
"53","""sparse""","1","1","201","false","1","44.532888","57"
"55","""sparse""","1","1","201","false","1","44.532888","48"
"54","""sparse""","1","1","201","false","1","44.532888","40"
"56","""sparse""","1","1","201","false","1","44.532888","60"
"57","""sparse""","1","1","201","false","1","44.532888","45"
"58","""sparse""","1","1","201","false","1","44.532888","53"
"59","""sparse""","1","1","201","false","1","44.532888","49"
"60","""sparse""","1","1","201","false","1","44.532888","36"
"61","""sparse""","1","41","1","false","1","44.532888","48"
"63","""sparse""","1","41","1","false","1","44.532888","45"
"62","""sparse""","1","41","1","false","1","44.532888","28"
"64","""sparse""","1","41","1","false","1","44.532888","40"
"65","""sparse""","1","41","1","false","1","44.532888","44"
"66","""sparse""","1","41","1","false","1","44.532888","46"
"67","""sparse""","1","41","1","false","1","44.532888","36"
"68","""sparse""","1","41","1","false","1","44.532888","46"
"69","""sparse""","1","41","1","false","1","44.532888","35"
"70","""sparse""","1","41","1","false","1","44.532888","34"
"71","""sparse""","1","41","41","false","1","44.532888","35"
"73","""sparse""","1","41","41","false","1","44.532888","46"
"72","""sparse""","1","41","41","false","1","44.532888","50"
"74","""sparse""","1","41","41","false","1","44.532888","70"
"75","""sparse""","1","41","41","false","1","44.532888","43"
"76","""sparse""","1","41","41","false","1","44.532888","37"
"77","""sparse""","1","41","41","false","1","44.532888","48"
"78","""sparse""","1","41","41","false","1","44.532888","39"
"80","""sparse""","1","41","41","false","1","44.532888","38"
"79","""sparse""","1","41","41","false","1","44.532888","52"
"82","""sparse""","1","41","81","false","1","44.532888","42"
"83","""sparse""","1","41","81","false","1","44.532888","49"
"81","""sparse""","1","41","81","false","1","44.532888","43"
"84","""sparse""","1","41","81","false","1","44.532888","39"
"85","""sparse""","1","41","81","false","1","44.532888","46"
"86","""sparse""","1","41","81","false","1","44.532888","41"
"87","""sparse""","1","41","81","false","1","44.532888","49"
"89","""sparse""","1","41","81","false","1","44.532888","41"
"90","""sparse""","1","41","81","false","1","44.532888","44"
"88","""sparse""","1","41","81","false","1","44.532888","53"
"92","""sparse""","1","41","121","false","1","44.532888","48"
"91","""sparse""","1","41","121","false","1","44.532888","33"
"93","""sparse""","1","41","121","false","1","44.532888","66"
"95","""sparse""","1","41","121","false","1","44.532888","43"
"94","""sparse""","1","41","121","false","1","44.532888","50"
"96","""sparse""","1","41","121","false","1","44.532888","35"
"97","""sparse""","1","41","121","false","1","44.532888","37"
"99","""sparse""","1","41","121","false","1","44.532888","44"
"98","""sparse""","1","41","121","false","1","44.532888","42"
"101","""sparse""","1","41","161","false","1","44.532888","39"
"100","""sparse""","1","41","121","false","1","44.532888","45"
"102","""sparse""","1","41","161","false","1","44.532888","35"
"103","""sparse""","1","41","161","false","1","44.532888","48"
"104","""sparse""","1","41","161","false","1","44.532888","40"
"105","""sparse""","1","41","161","false","1","44.532888","41"
"106","""sparse""","1","41","161","false","1","44.532888","33"
"108","""sparse""","1","41","161","false","1","44.532888","46"
"107","""sparse""","1","41","161","false","1","44.532888","45"
"109","""sparse""","1","41","161","false","1","44.532888","41"
"110","""sparse""","1","41","161","false","1","44.532888","35"
"111","""sparse""","1","41","201","false","1","44.532888","39"
"112","""sparse""","1","41","201","false","1","44.532888","43"
"113","""sparse""","1","41","201","false","1","44.532888","43"
"114","""sparse""","1","41","201","false","1","44.532888","41"
"115","""sparse""","1","41","201","false","1","44.532888","37"
"116","""sparse""","1","41","201","false","1","44.532888","45"
"117","""sparse""","1","41","201","false","1","44.532888","43"
"118","""sparse""","1","41","201","false","1","44.532888","35"
"120","""sparse""","1","41","201","false","1","44.532888","42"
"121","""sparse""","1","81","1","false","1","44.532888","44"
"119","""sparse""","1","41","201","false","1","44.532888","41"
"122","""sparse""","1","81","1","false","1","44.532888","46"
"123","""sparse""","1","81","1","false","1","44.532888","45"
"124","""sparse""","1","81","1","false","1","44.532888","37"
"126","""sparse""","1","81","1","false","1","44.532888","44"
"125","""sparse""","1","81","1","false","1","44.532888","37"
"127","""sparse""","1","81","1","false","1","44.532888","51"
"128","""sparse""","1","81","1","false","1","44.532888","30"
"129","""sparse""","1","81","1","false","1","44.532888","45"
"130","""sparse""","1","81","1","false","1","44.532888","44"
"131","""sparse""","1","81","41","false","1","44.532888","42"
"133","""sparse""","1","81","41","false","1","44.532888","55"
"132","""sparse""","1","81","41","false","1","44.532888","54"
"135","""sparse""","1","81","41","false","1","44.532888","53"
"134","""sparse""","1","81","41","false","1","44.532888","35"
"136","""sparse""","1","81","41","false","1","44.532888","51"
"137","""sparse""","1","81","41","false","1","44.532888","42"
"138","""sparse""","1","81","41","false","1","44.532888","47"
"139","""sparse""","1","81","41","false","1","44.532888","48"
"140","""sparse""","1","81","41","false","1","44.532888","45"
"141","""sparse""","1","81","81","false","1","44.532888","39"
"142","""sparse""","1","81","81","false","1","44.532888","50"
"144","""sparse""","1","81","81","false","1","44.532888","50"
"143","""sparse""","1","81","81","false","1","44.532888","51"
"146","""sparse""","1","81","81","false","1","44.532888","53"
"145","""sparse""","1","81","81","false","1","44.532888","50"
"147","""sparse""","1","81","81","false","1","44.532888","54"
"148","""sparse""","1","81","81","false","1","44.532888","71"
"150","""sparse""","1","81","81","false","1","44.532888","38"
"151","""sparse""","1","81","121","false","1","44.532888","56"
"149","""sparse""","1","81","81","false","1","44.532888","35"
"153","""sparse""","1","81","121","false","1","44.532888","50"
"154","""sparse""","1","81","121","false","1","44.532888","51"
"152","""sparse""","1","81","121","false","1","44.532888","42"
"155","""sparse""","1","81","121","false","1","44.532888","49"
"156","""sparse""","1","81","121","false","1","44.532888","46"
"157","""sparse""","1","81","121","false","1","44.532888","47"
"158","""sparse""","1","81","121","false","1","44.532888","42"
"160","""sparse""","1","81","121","false","1","44.532888","33"
"159","""sparse""","1","81","121","false","1","44.532888","46"
"161","""sparse""","1","81","161","false","1","44.532888","39"
"163","""sparse""","1","81","161","false","1","44.532888","46"
"162","""sparse""","1","81","161","false","1","44.532888","47"
"164","""sparse""","1","81","161","false","1","44.532888","41"
"165","""sparse""","1","81","161","false","1","44.532888","55"
"166","""sparse""","1","81","161","false","1","44.532888","40"
"167","""sparse""","1","81","161","false","1","44.532888","40"
"168","""sparse""","1","81","161","false","1","44.532888","40"
"169","""sparse""","1","81","161","false","1","44.532888","36"
"170","""sparse""","1","81","161","false","1","44.532888","40"
"171","""sparse""","1","81","201","false","1","44.532888","37"
"172","""sparse""","1","81","201","false","1","44.532888","34"
"173","""sparse""","1","81","201","false","1","44.532888","47"
"174","""sparse""","1","81","201","false","1","44.532888","47"
"175","""sparse""","1","81","201","false","1","44.532888","42"
"177","""sparse""","1","81","201","false","1","44.532888","48"
"178","""sparse""","1","81","201","false","1","44.532888","45"
"176","""sparse""","1","81","201","false","1","44.532888","53"
"180","""sparse""","1","81","201","false","1","44.532888","39"
"179","""sparse""","1","81","201","false","1","44.532888","38"
"181","""sparse""","1","121","1","false","1","44.532888","47"
"182","""sparse""","1","121","1","false","1","44.532888","36"
"183","""sparse""","1","121","1","false","1","44.532888","49"
"185","""sparse""","1","121","1","false","1","44.532888","50"
"184","""sparse""","1","121","1","false","1","44.532888","36"
"187","""sparse""","1","121","1","false","1","44.532888","55"
