BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
resource_nums,,,,,,,,
02/17/2016 11:01:19:818 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],resource_density,patchiness,c1_mult,c2_mult,calc_R,[step],num-patches-r,count patches with [resource?]
1,"""sparse""",1,1,1,FALSE,1,44.532888,43
2,"""sparse""",1,1,1,FALSE,1,44.532888,36
3,"""sparse""",1,1,1,FALSE,1,44.532888,52
4,"""sparse""",1,1,1,FALSE,1,44.532888,38
5,"""sparse""",1,1,1,FALSE,1,44.532888,39
6,"""sparse""",1,1,1,FALSE,1,44.532888,48
7,"""sparse""",1,1,1,FALSE,1,44.532888,39
8,"""sparse""",1,1,1,FALSE,1,44.532888,49
9,"""sparse""",1,1,1,FALSE,1,44.532888,38
10,"""sparse""",1,1,1,FALSE,1,44.532888,42
11,"""sparse""",1,1,1,FALSE,1,44.532888,53
12,"""sparse""",1,1,1,FALSE,1,44.532888,49
13,"""sparse""",1,1,1,FALSE,1,44.532888,36
14,"""sparse""",1,1,1,FALSE,1,44.532888,40
15,"""sparse""",1,1,1,FALSE,1,44.532888,50
16,"""sparse""",1,1,1,FALSE,1,44.532888,45
17,"""sparse""",1,1,1,FALSE,1,44.532888,55
18,"""sparse""",1,1,1,FALSE,1,44.532888,34
19,"""sparse""",1,1,1,FALSE,1,44.532888,40
20,"""sparse""",1,1,1,FALSE,1,44.532888,48
21,"""sparse""",1,1,41,FALSE,1,44.532888,48
22,"""sparse""",1,1,41,FALSE,1,44.532888,40
23,"""sparse""",1,1,41,FALSE,1,44.532888,42
24,"""sparse""",1,1,41,FALSE,1,44.532888,39
25,"""sparse""",1,1,41,FALSE,1,44.532888,38
26,"""sparse""",1,1,41,FALSE,1,44.532888,41
27,"""sparse""",1,1,41,FALSE,1,44.532888,39
28,"""sparse""",1,1,41,FALSE,1,44.532888,47
29,"""sparse""",1,1,41,FALSE,1,44.532888,44
30,"""sparse""",1,1,41,FALSE,1,44.532888,51
31,"""sparse""",1,1,41,FALSE,1,44.532888,45
32,"""sparse""",1,1,41,FALSE,1,44.532888,51
33,"""sparse""",1,1,41,FALSE,1,44.532888,37
34,"""sparse""",1,1,41,FALSE,1,44.532888,52
35,"""sparse""",1,1,41,FALSE,1,44.532888,42
36,"""sparse""",1,1,41,FALSE,1,44.532888,40
37,"""sparse""",1,1,41,FALSE,1,44.532888,43
