Date,Species Name,Transect,Location (m),#Plants,#Inflorescences,Flowers/Inf,#Flowers,Method,Notes on Plant Distribution,Notes on Visitation,Name,Picture,,
02/13/2015,Amsinckia intermedia,BRS (42.4m),34.10783,,1,1.0,1,Direct,"Several nearby, in a patch",,Saul G,AI021315,,
02/13/2015,Amsinckia intermedia,BRS (42.4m),34.10783,,1,1.0,1,Direct,,,Saul G,,,
02/13/2015,Amsinckia intermedia,BRS (42.4m),34.10783,,1,1.0,1,Direct,,,Saul G,,,
02/13/2015,Amsinckia intermedia,BRS (42.4m),34.10783,,1,1.0,1,Direct,,,Saul G,,,
02/13/2015,Dichelostemma capitatum,BRS (42.4m),34.10783,,1,4.0,4,Direct,"2 plants close to each other, no others around","4 unidentified, small, slender crawling insects on petals.",Saul G,DC021315a,,
02/13/2015,Dichelostemma capitatum,BRS (42.4m),34.10783,,1,1.0,1,Direct,,,Saul G,DC021315b,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,40,1.3,52,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,9,1.1,10,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,14,1.2,17,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10787,,3,1.0,3,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10762,,84,1.4,116,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10787,,18,1.8,35,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10787,,28,1.9,52,Estimate,"Several others nearby, in a patch.",,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,9,1.4,13,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,9,1.8,16,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,16,1.4,22,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,18,1.8,35,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,5,2.0,10,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,28,1.6,44,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,56,1.7,96,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,48,1.5,72,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,7,1.3,9,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,88,2.0,172,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,2,1.0,2,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,6,1.3,8,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,40,2.6,104,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,20,1.4,28,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,48,1.8,88,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,38,1.5,26,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,76,2.1,160,Estimate,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,1,1.0,1,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10786,,1,1.0,1,Direct,,,Saul G,,,
02/13/2015,Solanum umbelliferum,BRS (42.4m),34.10785,,12,1.4,17,Direct,,,Saul G,,,
02/17/2015,Amsinckia intermedia,NNG (NE corner),6.5 m,,1,2.0,2,Direct,"Solitary, another flower several meters away",,Saul G,AI021715,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),0.24,,N/A,N/A,3,Direct,Within a few meters of others,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),0.9,,N/A,N/A,2,Direct,, ,Saul G,,,
02/20/2015,Camissonopsis micrantha,BSS (2nd seg. from East),0.1,,N/A,N/A,2,Direct,"Solitary, only C. bistorta nearby",,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),0.76,,N/A,N/A,8,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),1.3,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),1.43,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),1.44,,1,2.0,2,Direct,Within a few meters of others,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),1.65,,1,2.0,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),1.85,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.23,,1,2.0,2,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.23,,1,1.0,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),2.56,,N/A,N/A,3,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.6,,1,1.0,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.6,,2,2.0,4,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.65,,1,3.0,3,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.7,,1,1.0,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),2.82,,1,6.0,6,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),2.35,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),3.82,,N/A,N/A,6,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),3.95,,N/A,N/A,4,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),4.16,,1,1.0,5,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),4.32,,1,1.0,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),4.32,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),4.58,,10,2.6,26,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),4.78,,5,2.2,11,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),4.32,,N/A,N/A,3,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),4.46,,1,1.0,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),4.65,,8,1.3,10,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),5.24,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),5.33,,N/A,N/A,3,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),4.98,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),5.6,,N/A,N/A,4,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.05,,N/A,N/A,3,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.59,,N/A,N/A,13,Direct,,,Saul G,CB022015,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.78,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.88,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.88,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.92,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.53,,N/A,N/A,4,Direct,,,Saul G,,,
