Plant ID,Species Name,Date,FlowDiam(mm),Cor Len(mm),# Florets,TotVolNec(_L),Vol/Flw(_L),BRIX,Sugar(_g),Sug/Floret(_g),Treatment / Notes
CM001,Calystegia macrostegia,6/23/15,37.34,23.71,5,0.46,0.09,38.5,0.177,0.035,Flowers in pollen  bags overnight were damaged.  Used flowers in the open.
CM002,Calystegia macrostegia,6/23/15,32.02,24.69,5,1.25,0.25,26,0.325,0.065,Flowers in pollen  bags overnight were damaged.  Used flowers in the open.
CM003,Calystegia macrostegia,6/23/15,30.02,22.92,6,0.28,0.05,31.5,0.088,0.015,Flowers in pollen  bags overnight were damaged.  Used flowers in the open.
CM004,Calystegia macrostegia,6/23/15,33.54,22.23,2,1.16,0.58,34,0.394,0.197,Flowers in pollen  bags overnight were damaged.  Used flowers in the open.
CM005,Calystegia macrostegia,6/23/15,39.6,21.96,6,1.06,0.18,36,0.382,0.064,Flowers in pollen  bags overnight were damaged.  Used flowers in the open.
PS016,Penstemon spectabilis,6/23/15,14.51,21.37,3,21,7,32,6.72,2.24,
PS017,Penstemon spectabilis,6/23/15,21.98,26.26,2,5.2,2.6,30.5,1.586,0.793,
PS018,Penstemon spectabilis,6/23/15,18.68,26.3,3,24.9,8.3,24.5,6.101,2.034,
PS019,Penstemon spectabilis,6/23/15,18.72,24.05,2,6.5,3.3,36.5,2.373,1.186,
PS020,Penstemon spectabilis,6/23/15,17.1,25.07,3,6.9,2.3,23,1.587,0.529,
SA016,Salvia apiana,6/23/15,10.25,6.46,5,3.2,0.6,50,#VALUE!,#VALUE!,"Brix reading was above the refractometer scale, used value of 50"
SA017,Salvia apiana,6/23/15,10.22,7.28,5,7.1,1.4,45.5,3.231,0.646,
SA018,Salvia apiana,6/23/15,8.33,6.7,5,8.9,1.8,40.5,3.605,0.721,
SA019,Salvia apiana,6/23/15,8.1,8.64,5,5.9,1.2,35.5,2.095,0.419,
SA020,Salvia apiana,6/23/15,7.68,7.9,5,3.4,0.68,38.5,1.309,0.262,
HA021,Heteromeles arbutifolia,6/30/15,7.48,3.51,20+,,,NA,#VALUE!,#VALUE!,Could not obtain nectar
HA022,Heteromeles arbutifolia,6/30/15,7.64,3.69,20+,,,NA,#VALUE!,#VALUE!,Could not obtain nectar
HA023,Heteromeles arbutifolia,6/30/15,7.68,4.17,20,3,0.15,21,0.63,0.032,
HA024,Heteromeles arbutifolia,6/30/15,7.5,3.81,7,6.8,1,25.5,1.734,0.248,
HA025,Heteromeles arbutifolia,6/30/15,7.98,4.54,7,5,0.7,25.5,1.275,0.182,
EF026,Eriogonum fasciculatum,6/30/15,3.97,1.92,20,0.13,0.007,NA,#VALUE!,#VALUE!,Not enough nectar to obtain a reading
EF027,Eriogonum fasciculatum,6/30/15,4.1,2.07,30,0.06,0.002,NA,#VALUE!,#VALUE!,Not enough nectar to obtain a reading
EF028,Eriogonum fasciculatum,6/30/15,3.69,1.67,30,0.03,0.001,NA,#VALUE!,#VALUE!,Not enough nectar to obtain a reading
EF029,Eriogonum fasciculatum,6/30/15,4.19,1.93,40,0.09,0.002,NA,#VALUE!,#VALUE!,Not enough nectar to obtain a reading
EF030,Eriogonum fasciculatum,6/30/15,4.61,2.52,21,0.13,0.007,NA,#VALUE!,#VALUE!,Not enough nectar to obtain a reading
SN011,Sambuccus nigra,6/30/15,5.38,1.76,,,,NA,#VALUE!,#VALUE!,Could not extract any nectar
SN012,Sambuccus nigra,6/30/15,4.96,2.01,,,,NA,#VALUE!,#VALUE!,Could not extract any nectar
SN013,Sambuccus nigra,6/30/15,4.3,2.18,,,,NA,#VALUE!,#VALUE!,Could not extract any nectar
SN014,Sambuccus nigra,6/30/15,6.54,2.11,,,,NA,#VALUE!,#VALUE!,Could not extract any nectar
SN015,Sambuccua nigra,6/30/15,,,,,,NA,#VALUE!,#VALUE!,Shoot was damaged in the pollen bag; all the florets fell off.
CS001,Croton setigerus,7/14/15,4.46,3.02,12,1.27,0.106,48.5,0.616,0.051,
CS002,Croton setigerus,7/14/15,3.98,2.22,12,0.072,0.006,Could not expel,#VALUE!,#VALUE!,Amount of nectar was so small that it could not be expelled from the microcap onto the refractometer w/ the bulb.
CS003,Croton setigerus,7/14/15,2.83,2.05,4,,,No nectar,#VALUE!,#VALUE!,"Many buds on the flowers were not in bloom.
Only 4 were open."
CS004,Croton setigerus,7/14/15,3.35,2.31,9,,,No nectar,#VALUE!,#VALUE!,Only 9 buds were blooming
CS005,Croton setigerus,7/14/15,3.14,2.1,8,,,No nectar,#VALUE!,#VALUE!,Only 8 buds were blooming
SA021,Salvia apiana,7/14/15,8.28,7.71,6,8.17,1.362,25.5,2.083,0.347,
SA022,Salvia apiana,7/14/15,7.89,7.78,6,1.26,0.21,33.5,0.422,0.07,
SA023,Salvia apiana,7/14/15,9.34,7.49,6,2,0.333,15,0.3,0.05,
SA024,Salvia apiana,7/14/15,10.12,8.73,6,0.82,0.137,29,0.238,0.04,
SA025,Salvia apiana,7/14/15,11.06,8.3,6,6.95,1.158,40.5,2.815,0.469,
ES001,Eriastrum sapphirinum,7/14/15,9.16,8.24,10,,,No Nectar,#VALUE!,#VALUE!,
ES002,Eriastrum sapphirinum,7/14/15,6.31,9.24,13,,,No Nectar,#VALUE!,#VALUE!,
ES003,Eriastrum sapphirinum,7/14/15,10.55,8.43,18,,,No Nectar,#VALUE!,#VALUE!,
ES004,Eriastrum sapphirinum,7/14/15,12.46,8.18,14,0.047,0.003,Could not expel,#VALUE!,#VALUE!,Amount of nectar was so small that it could not be expelled from the microcap onto the refractometer w/ the bulb.
ES005,Eriastrum sapphirinum,7/14/15,10.8,10.15,15,,,No Nectar,#VALUE!,#VALUE!,
