BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,found/all,depleted resources,depleted/found,max [dist-hive-max] of turtles
1,"""sparse""","""0.4""",TRUE,500,1,-750,750,-750,750,2400,500,TRUE,0.404950728,2,5.819,0.407238716,488482.84,83946.18319,167.8923664,FALSE,TRUE,82.649,1484.462,95,81,14,0.147368421,8,0.571428571,860.5099225
2,"""sparse""","""0.4""",TRUE,500,2,-750,750,-750,750,2400,500,TRUE,0.419077036,19,5.819,0.102679441,123163.99,21165.83434,42.33166867,FALSE,TRUE,467.952,1789.07,103,90,13,0.126213592,5,0.384615385,840.8526627
3,"""sparse""","""0.4""",TRUE,500,3,-750,750,-750,750,2400,500,TRUE,0.408967718,4,5.819,0.108387561,130010.88,22342.47809,44.68495618,FALSE,TRUE,115.139,1483.8,99,87,12,0.121212121,3,0.25,895.9637761
4,"""sparse""","""0.4""",TRUE,500,4,-750,750,-750,750,2400,500,TRUE,0.41249968,5,5.819,1.206666336,1447396.27,248736.2554,497.4725107,FALSE,TRUE,141.627,1485.993,119,99,20,0.168067227,6,0.3,693.9168834
5,"""sparse""","""0.4""",TRUE,500,5,-750,750,-750,750,2400,500,TRUE,0.419442849,16,5.819,0.129129454,154890.78,26618.10964,53.23621928,FALSE,TRUE,390.056,1762.866,93,83,10,0.107526882,5,0.5,828.7937697
6,"""sparse""","""0.4""",TRUE,500,6,-750,750,-750,750,2400,500,TRUE,0.42326614,2,5.819,1.5432205,1851092.99,318111.8732,636.2237463,FALSE,TRUE,80.91,1481.64,108,89,19,0.175925926,10,0.526315789,776.1430627
7,"""sparse""","""0.4""",TRUE,500,7,-750,750,-750,750,2400,500,TRUE,0.424580781,20,5.819,0.377760634,453123.88,77869.71645,155.7394329,FALSE,TRUE,497.772,1839.909,112,102,10,0.089285714,6,0.6,754.6872343
8,"""sparse""","""0.4""",TRUE,500,8,-750,750,-750,750,2400,500,TRUE,0.406597014,17,5.819,0.779995665,935604.8,160784.4647,321.5689294,FALSE,TRUE,417.911,1763.012,110,84,26,0.236363636,9,0.346153846,848.0283808
9,"""sparse""","""0.4""",TRUE,500,9,-750,750,-750,750,2400,500,TRUE,0.379322691,16,5.819,0.232984135,279464.47,48026.2021,96.05240419,FALSE,TRUE,515.914,1969.61,94,82,12,0.127659574,3,0.25,789.360164
10,"""sparse""","""0.4""",TRUE,500,10,-750,750,-750,750,2400,500,TRUE,0.394853905,1,5.819,2.236593114,2682793.44,461040.2887,922.0805774,FALSE,TRUE,42.353,1471.633,102,83,19,0.18627451,8,0.421052632,1008.337806
