BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2016 14:38:27:510 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,energy.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
1,"""dense""","""0.4""",,TRUE,500,1,0.394773219,1,99.17897491,1.19E+08,237930.36,FALSE,TRUE,79.488,1434.149,3192,3001,191,69,415.0109178,5094,1.13E+08,3694,30478.39,1.17E+07,767,15297.66
2,"""dense""","""0.4""",,TRUE,500,2,0.377378749,1,19.80884258,2.38E+07,47521.41,FALSE,TRUE,77.664,1426.425,3333,3155,178,79,390.8664231,4911,2.22E+07,4313,5158.29,5336624.13,829,6437.42
3,"""dense""","""0.4""",,TRUE,500,3,0.412286925,1,87.18858038,1.05E+08,209165.40,FALSE,TRUE,77.572,1436.916,3093,2897,196,90,448.311937,5768,9.79E+07,4510,21713.03,1.51E+07,1068,14138.62
4,"""dense""","""0.4""",,TRUE,500,4,0.397419171,1,223.0193633,2.68E+08,535023.45,FALSE,TRUE,74.999,1427.885,3182,2989,193,82,387.6261798,5343,2.51E+08,3546,70907.90,5.60E+07,1078,51938.59
5,"""dense""","""0.4""",,TRUE,500,5,0.423501032,1,40.08534686,4.81E+07,96164.75,FALSE,TRUE,70.05,1421.919,3186,2986,200,89,404.2932104,5929,4.48E+07,4781,9375.62,6874711.82,1018,6753.16
6,"""dense""","""0.4""",,TRUE,500,6,0.411615206,1,60.22269418,7.22E+07,144474.24,FALSE,TRUE,65.969,1421.525,3256,3048,208,73,484.31603,5443,6.71E+07,4275,15684.78,1.42E+07,876,16159.96
7,"""dense""","""0.4""",,TRUE,500,7,0.413504289,2,55.79605919,6.69E+07,133854.75,FALSE,TRUE,118.863,1485.295,3111,2907,204,83,492.5483753,5534,6.25E+07,4463,13997.33,8935892.35,942,9486.09
8,"""dense""","""0.4""",,TRUE,500,8,0.402717704,1,129.2356242,1.55E+08,310036.26,FALSE,TRUE,70.181,1430.851,3178,2972,206,83,418.1339498,5790,1.47E+08,3909,37589.35,5.36E+07,1100,48688.60
9,"""dense""","""0.4""",,TRUE,500,9,0.38782143,1,39.73866286,4.77E+07,95333.05,FALSE,TRUE,72.665,1481.269,3241,3035,206,88,399.8278191,5561,4.39E+07,4732,9274.97,1.03E+07,1134,9090.67
10,"""dense""","""0.4""",,TRUE,500,10,0.427627188,1,28.7060522,3.44E+07,68865.82,FALSE,TRUE,69.185,1476.917,3135,2925,210,82,470.6903694,5636,3.25E+07,4857,6696.25,6159904.07,913,6746.88
