BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
1,"""dense""","""0.4""",TRUE,500,1,0.390051339,1,0.487953897,585300.7,FALSE,TRUE,82.072,1484.543,3323,3172,151,53,543.4353687,3750,512464.01,3259,111649.77,660
2,"""dense""","""0.4""",TRUE,500,2,0.404141609,1,0.540237699,648015.12,FALSE,TRUE,72.151,1482.424,3180,3048,132,48,390.2986954,3619,575661.79,3198,112841.94,599
3,"""dense""","""0.4""",TRUE,500,3,0.3976774,1,0.384836832,461611.78,FALSE,TRUE,70.924,1485.289,3139,3000,139,45,426.3888878,3236,405632.62,2797,65749.42,501
4,"""dense""","""0.4""",TRUE,500,4,0.408533056,1,0.490576857,588446.94,FALSE,TRUE,72.196,1492.756,3173,3012,161,51,486.5973695,3750,517472.6,3279,102379.6,645
5,"""dense""","""0.4""",TRUE,500,5,0.416171535,1,0.517318941,620524.07,FALSE,TRUE,67.578,1467.842,3190,3035,155,47,421.6003499,3757,554396.6,3344,85691.11,523
6,"""dense""","""0.4""",TRUE,500,6,0.421280332,1,0.482896765,579234.67,FALSE,TRUE,76.444,1477.805,3226,3072,154,55,518.7696653,3732,510442.49,3260,92283.29,586
7,"""dense""","""0.4""",TRUE,500,7,0.394800892,1,0.483657891,580147.64,FALSE,TRUE,65.249,1474.184,3140,2991,149,49,504.4293806,3723,512478.68,3260,87558.37,532
8,"""dense""","""0.4""",TRUE,500,8,0.422445432,1,0.470725135,564634.8,FALSE,TRUE,67.435,1483.509,3166,3016,150,52,401.2244733,3875,496308.14,3395,111439.59,699
9,"""dense""","""0.4""",TRUE,500,9,0.414376727,1,0.566074331,679006.16,FALSE,TRUE,78.122,1524.409,3168,3019,149,56,376.0757902,3883,608858.31,3474,105073.52,614
10,"""dense""","""0.4""",TRUE,500,10,0.394259285,1,0.45819118,549600.32,FALSE,TRUE,78.339,1530.461,3188,3038,150,47,343.9205242,3495,489745.86,3093,88984.61,601
11,"""dense""","""0.4""",TRUE,3000,1,0.390051339,1,0.307411937,2212443.71,TRUE,FALSE,225.337,2155.885,3323,2836,487,243,558.3722832,14793,1868638.51,12367,678328.91,4513
12,"""dense""","""0.4""",TRUE,3000,2,0.404141609,1,0.332406978,2392333.02,TRUE,FALSE,224.067,2177.74,3180,2678,502,240,554.8508035,14605,2031223.06,12359,674259.92,4164
13,"""dense""","""0.4""",TRUE,3000,3,0.3976774,1,0.280259832,2017030.01,TRUE,FALSE,217.734,2173.671,3139,2683,456,230,789.3877374,13557,1697432.08,11303,590408.88,4129
14,"""dense""","""0.4""",TRUE,3000,4,0.408533056,1,0.277706266,1998652,TRUE,FALSE,218.712,2177.085,3173,2700,473,205,534.2180348,13189,1676458.87,10899,512457.56,3499
15,"""dense""","""0.4""",TRUE,3000,5,0.416171535,1,0.304345764,2190376.46,TRUE,FALSE,218.878,2145.875,3190,2698,492,232,557.7238458,14437,1840764.04,12028,633504.66,4123
16,"""dense""","""0.4""",TRUE,3000,6,0.421280332,1,0.274290081,1974065.71,TRUE,FALSE,213.94,2165.934,3226,2766,460,222,618.79316,13358,1654619.22,11041,556396.28,3781
17,"""dense""","""0.4""",TRUE,3000,7,0.394800892,1,0.281793097,2028064.92,TRUE,FALSE,216.332,2160.049,3140,2666,474,215,581.8574307,13322,1708450.83,11059,556545.6,3613
18,"""dense""","""0.4""",TRUE,3000,8,0.422445432,1,0.266308629,1916623.2,TRUE,FALSE,215.6,2181.749,3166,2702,464,229,586.717138,13667,1595856.39,11260,555517.21,4082
19,"""dense""","""0.4""",TRUE,3000,9,0.414376727,1,0.309831338,2229856.14,TRUE,FALSE,215.647,2167.802,3168,2681,487,238,558.6161473,14153,1884026.69,11875,651135.31,4185
20,"""dense""","""0.4""",TRUE,3000,10,0.394259285,1,0.295010039,2123187.25,TRUE,FALSE,213.005,2175.563,3188,2696,492,230,589.4283372,14027,1793702.29,11686,586569.65,4008
21,"""dense""","""0.4""",FALSE,500,1,0.390051339,1,0.304345511,365062.44,TRUE,FALSE,222.023,2107.332,3323,3222,101,30,291.5039146,2623,0,0,42990.97,335
22,"""dense""","""0.4""",FALSE,500,2,0.404141609,1,0.365308904,438188.03,TRUE,FALSE,221.352,2117.875,3180,3072,108,33,285.926564,2582,0,0,56298.73,323
23,"""dense""","""0.4""",FALSE,500,3,0.3976774,1,0.288160942,345649.05,TRUE,FALSE,219.818,2088.316,3139,3043,96,33,334.113186,2491,0,0,42315.92,318
24,"""dense""","""0.4""",FALSE,500,4,0.408533056,1,0.234899225,281761.62,TRUE,FALSE,214.34,2102.283,3173,3085,88,22,346.4808797,2076,0,0,33651.22,242
25,"""dense""","""0.4""",FALSE,500,5,0.416171535,1,0.335320817,402217.32,TRUE,FALSE,218.667,2106.966,3190,3088,102,22,415.6500932,2575,0,0,34855.9,230
26,"""dense""","""0.4""",FALSE,500,6,0.421280332,1,0.280995982,337054.68,TRUE,FALSE,215.993,2109.822,3226,3133,93,25,407.4125673,2349,0,0,31486.67,223
27,"""dense""","""0.4""",FALSE,500,7,0.394800892,1,0.252944393,303406.8,TRUE,FALSE,217.778,2110.063,3140,3039,101,24,325.821346,2395,0,0,30677.55,240
28,"""dense""","""0.4""",FALSE,500,8,0.422445432,1,0.28247519,338828.99,TRUE,FALSE,221.822,2119.057,3166,3076,90,24,249.1043958,2283,0,0,37264.95,253
29,"""dense""","""0.4""",FALSE,500,9,0.414376727,1,0.361815732,433997.97,TRUE,FALSE,219.833,2111.201,3168,3063,105,31,361.1727687,2696,0,0,44713.05,293
30,"""dense""","""0.4""",FALSE,500,10,0.394259285,1,0.280118558,336002.21,TRUE,FALSE,224.223,2118.405,3188,3086,102,26,402.5559895,2168,0,0,41105.64,272
31,"""dense""","""0.4""",FALSE,3000,1,0.390051339,1,0.199273178,1434169.06,TRUE,FALSE,220.305,2135.51,3323,2988,335,152,406.7566721,9876,0,0,276892.79,1911
32,"""dense""","""0.4""",FALSE,3000,2,0.404141609,1,0.207635927,1494355.77,TRUE,FALSE,214.547,2146.586,3180,2851,329,132,486.642121,9209,0,0,286969.94,1711
33,"""dense""","""0.4""",FALSE,3000,3,0.3976774,1,0.192981745,1388889.62,TRUE,FALSE,223.152,2142.417,3139,2833,306,138,517.1072469,9178,0,0,272533.55,1859
34,"""dense""","""0.4""",FALSE,3000,4,0.408533056,1,0.185256048,1333287.78,TRUE,FALSE,217.163,2148.886,3173,2857,316,143,479.6997694,9249,0,0,254616.87,1823
35,"""dense""","""0.4""",FALSE,3000,5,0.416171535,1,0.197960611,1424722.52,TRUE,FALSE,220.582,2133.934,3190,2865,325,146,510.884058,9591,0,0,295937.92,1940
36,"""dense""","""0.4""",FALSE,3000,6,0.421280332,1,0.183041408,1317349.01,TRUE,FALSE,215.608,2154.767,3226,2911,315,146,424.2596872,9448,0,0,262181.41,1883
37,"""dense""","""0.4""",FALSE,3000,7,0.394800892,1,0.175160128,1260627.44,TRUE,FALSE,217.336,2138.452,3140,2841,299,123,526.1368643,8425,0,0,233370.54,1589
38,"""dense""","""0.4""",FALSE,3000,8,0.422445432,1,0.188436783,1356179.53,TRUE,FALSE,213.397,2127.609,3166,2839,327,155,525.906717,10037,0,0,286429.02,2121
39,"""dense""","""0.4""",FALSE,3000,9,0.414376727,1,0.195765586,1408924.92,TRUE,FALSE,218.838,2063.618,3168,2867,301,147,497.7569688,9120,0,0,317833.54,2011
40,"""dense""","""0.4""",FALSE,3000,10,0.394259285,1,0.176763593,1272167.58,TRUE,FALSE,213.064,2059.458,3188,2889,299,132,528.6984017,8970,0,0,244742.56,1731
41,"""dense""","""0.6""",TRUE,500,1,0.621021871,1,0.528193155,633567.69,FALSE,TRUE,49.295,1449.462,3110,2955,155,52,351.0911563,3845,561091.93,3388,86144.78,531
42,"""dense""","""0.6""",TRUE,500,2,0.628568777,1,0.442294314,530532.03,FALSE,TRUE,48.783,1459.322,3140,2999,141,48,327.3790421,3535,463345.54,3044,81937.59,527
