BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/19/2016 15:36:54:726 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
1,"""extra_sparse""","""0.4""",TRUE,500,1,0.379521097,16,0.011055782,13261.41,FALSE,TRUE,578.168,2081.169,55,48,7,1,942.2627361,100,12516.56,89,901.94,8
2,"""extra_sparse""","""0.4""",TRUE,500,2,0.41615352,112,0.049895073,59849.14,FALSE,TRUE,3020.881,4421.104,67,56,11,5,725.3151174,326,50556.09,267,5836.56,36
3,"""extra_sparse""","""0.4""",TRUE,500,3,0.403586066,39,0.015936207,19115.48,FALSE,TRUE,1103.805,2557.141,55,49,6,2,902.7324202,172,16037.21,136,2304.34,26
4,"""extra_sparse""","""0.4""",TRUE,500,4,0.429066532,136,0.015150279,18172.76,FALSE,TRUE,3702.81,5096.374,63,56,7,0,750.955027,88,17590.86,84,1693.33,11
5,"""extra_sparse""","""0.4""",TRUE,500,5,0.424702887,247,0.066257357,79475.7,FALSE,TRUE,8488.097,10037.286,59,45,14,6,959.5741193,445,66749.53,362,6424.14,36
6,"""extra_sparse""","""0.4""",TRUE,500,6,0.391664506,97,0.035598049,42699.86,FALSE,TRUE,2698.013,4122.564,53,43,10,5,750.2690049,296,34239.03,240,7297.03,51
7,"""extra_sparse""","""0.4""",TRUE,500,7,0.424709367,198,0.017556382,21058.88,FALSE,TRUE,5304.169,6753.032,59,49,10,1,728.3622297,146,18417.06,127,1402.39,11
8,"""extra_sparse""","""0.4""",TRUE,500,8,0.409192009,13,0.046741251,56066.13,FALSE,TRUE,379.501,1774.407,55,44,11,3,783.6175025,248,50590.44,222,6302.02,32
9,"""extra_sparse""","""0.4""",TRUE,500,9,0.413771992,16,0.042137874,50544.38,FALSE,TRUE,460.007,1920.663,68,58,10,5,690.0763818,288,43677.88,242,3735.84,24
10,"""extra_sparse""","""0.4""",TRUE,500,10,0.417089032,3,0.058830796,70567.54,FALSE,TRUE,107.575,1496.689,71,57,14,6,816.9480516,382,59424,314,9531.55,53
